Index,Start,Time,Type,Data,
0,253.518 ms,8.7 ¦Ìs,RX data,24,
1,253.528875 ms,8.7 ¦Ìs,RX data,47,
2,253.5397 ms,8.7 ¦Ìs,RX data,4E,
3,253.55055 ms,8.7 ¦Ìs,RX data,54,
4,253.5614 ms,8.7 ¦Ìs,RX data,58,
5,253.57225 ms,8.7 ¦Ìs,RX data,54,
6,253.5831 ms,8.7 ¦Ìs,RX data,2C,
7,253.59395 ms,8.7 ¦Ìs,RX data,30,
8,253.6048 ms,8.7 ¦Ìs,RX data,31,
9,253.61565 ms,8.7 ¦Ìs,RX data,2C,
10,253.6265 ms,8.7 ¦Ìs,RX data,30,
11,253.637325 ms,8.7 ¦Ìs,RX data,31,
12,253.648175 ms,8.7 ¦Ìs,RX data,2C,
13,253.65905 ms,8.7 ¦Ìs,RX data,30,
14,253.669875 ms,8.7 ¦Ìs,RX data,32,
15,253.680725 ms,8.7 ¦Ìs,RX data,2C,
16,253.691575 ms,8.7 ¦Ìs,RX data,75,
17,253.702425 ms,8.7 ¦Ìs,RX data,2D,
18,253.713275 ms,8.7 ¦Ìs,RX data,62,
19,253.724125 ms,8.7 ¦Ìs,RX data,6C,
20,253.73495 ms,8.7 ¦Ìs,RX data,6F,
21,253.7458 ms,8.7 ¦Ìs,RX data,78,
22,253.756675 ms,8.7 ¦Ìs,RX data,20,
23,253.7675 ms,8.7 ¦Ìs,RX data,41,
24,253.77835 ms,8.7 ¦Ìs,RX data,47,
25,253.7892 ms,8.7 ¦Ìs,RX data,20,
26,253.80005 ms,8.7 ¦Ìs,RX data,2D,
27,253.8109 ms,8.7 ¦Ìs,RX data,20,
28,253.82175 ms,8.7 ¦Ìs,RX data,77,
29,253.832575 ms,8.7 ¦Ìs,RX data,77,
30,253.84345 ms,8.7 ¦Ìs,RX data,77,
31,253.8543 ms,8.7 ¦Ìs,RX data,2E,
32,253.865125 ms,8.7 ¦Ìs,RX data,75,
