Id,Time[ns],0:UART: RX/TX
285,2133129820.00,00
286,2133141750.00,03
287,2133153690.00,00
288,2133165620.00,00
289,2133177560.00,07
290,2133189490.00,00
291,2133201430.00,91
292,2133213360.00,20
293,2133225300.00,01
294,2133237230.00,55
295,2133249170.00,58
296,2143068650.00,B5
297,2143080580.00,62
298,2143092520.00,06
299,2143104450.00,8A
300,2143116390.00,09
301,2143128320.00,00
302,2143140260.00,00
303,2143152190.00,03
304,2143164130.00,00
305,2143176060.00,00
306,2143188000.00,43
307,2143199930.00,00
308,2143211870.00,91
309,2143223800.00,20
310,2143235740.00,01
311,2143247670.00,91
312,2143259610.00,84
313,2153057580.00,B5
314,2153069510.00,62
315,2153081450.00,06
316,2153093380.00,8A
317,2153105320.00,09
318,2153117250.00,00
319,2153129190.00,00
320,2153141120.00,03
321,2153153060.00,00
322,2153164990.00,00
323,2153176930.00,48
324,2153188860.00,00
325,2153200800.00,91
326,2153212730.00,20
327,2153224670.00,01
328,2153236600.00,96
329,2153248540.00,9D
330,2163068750.00,B5
331,2163080690.00,62
332,2163092620.00,06
333,2163104560.00,8A
334,2163116490.00,09
335,2163128430.00,00
336,2163140370.00,00
337,2163152310.00,03
338,2163164230.00,00
339,2163176170.00,00
340,2163188110.00,5C
341,2163200040.00,00
342,2163211970.00,91
343,2163223910.00,20
344,2163235850.00,01
345,2163247790.00,AA
346,2163259710.00,01
347,2173077080.00,B5
348,2173089030.00,62
349,2173100950.00,06
350,2173112890.00,8A
351,2173124830.00,09
352,2173136770.00,00
353,2173148690.00,00
354,2173160630.00,03
355,2173172570.00,00
356,2173184510.00,00
357,2173196430.00,66
358,2173208370.00,00
359,2173220310.00,91
360,2173232250.00,20
361,2173244170.00,01
362,2173256110.00,B4
363,2173268050.00,33
364,2183068650.00,B5
365,2183080590.00,62
366,2183092530.00,06
367,2183104470.00,8A
368,2183116390.00,09
369,2183128330.00,00
370,2183140270.00,00
371,2183152210.00,03
372,2183164130.00,00
373,2183176070.00,00
374,2183188010.00,16
375,2183199950.00,00
376,2183211870.00,91
377,2183223810.00,20
378,2183235750.00,01
379,2183247690.00,64
380,2183259610.00,A3
381,2193057690.00,B5
382,2193069610.00,62
383,2193081550.00,06
384,2193093490.00,8A
385,2193105430.00,09
386,2193117350.00,00
387,2193129300.00,00
388,2193141230.00,03
389,2193153170.00,00
390,2193165100.00,00
391,2193177040.00,5A
392,2193188970.00,03
393,2193200910.00,91
394,2193212840.00,20
395,2193224780.00,01
396,2193236710.00,AB
397,2193248650.00,03
398,2203072510.00,B5
399,2203084440.00,62
400,2203096380.00,06
401,2203108310.00,8A
402,2203120250.00,0C
403,2203132180.00,00
404,2203144120.00,00
405,2203156050.00,03
406,2203167990.00,00
407,2203179920.00,00
408,2203191860.00,04
409,2203203790.00,00
410,2203215730.00,05
411,2203227660.00,40
412,2203239600.00,A0
413,2203251530.00,86
414,2203263470.00,01
415,2203275400.00,00
416,2203287340.00,0F
417,2203299270.00,D1
418,2213062450.00,B5
419,2213074390.00,62
420,2213086320.00,06
421,2213098260.00,8A
422,2213110190.00,09
423,2213122130.00,00
424,2213134060.00,00
425,2213146000.00,03
426,2213157930.00,00
427,2213169870.00,00
428,2213181800.00,0C
429,2213193740.00,00
430,2213205670.00,05
431,2213217610.00,20
432,2213229540.00,01
433,2213241480.00,CE
434,2213253410.00,CD
435,2223121570.00,B5
436,2223133510.00,62
437,2223145440.00,06
438,2223157380.00,8A
439,2223169310.00,09
440,2223181250.00,00
441,2223193180.00,00
442,2223205120.00,03
443,2223217050.00,00
444,2223228990.00,00
445,2223240920.00,0D
446,2223252860.00,00
447,2223264790.00,41
448,2223276730.00,10
449,2223288660.00,01
450,2223300600.00,FB
451,2223312530.00,66
452,2233060860.00,B5
453,2233072800.00,62
454,2233084730.00,06
455,2233096670.00,8A
456,2233108600.00,09
457,2233120540.00,00
458,2233132470.00,00
459,2233144410.00,03
460,2233156340.00,00
461,2233168280.00,00
462,2233180210.00,21
463,2233192150.00,00
464,2233204080.00,11
465,2233216020.00,20
466,2233227950.00,07
467,2233239890.00,F5
468,2233251820.00,60
469,2243072110.00,B5
470,2243084040.00,62
471,2243095980.00,06
472,2243107910.00,8A
473,2243119850.00,09
474,2243131780.00,00
475,2243143720.00,00
476,2243155650.00,03
477,2243167590.00,00
478,2243179520.00,00
479,2243191460.00,25
480,2243203390.00,00
481,2243215330.00,11
482,2243227260.00,10
483,2243239200.00,01
484,2243251130.00,E3
485,2243263070.00,4E
486,2253061240.00,B5
487,2253073170.00,62
488,2253085110.00,06
489,2253097040.00,8A
490,2253108980.00,09
491,2253120910.00,00
492,2253132850.00,00
493,2253144780.00,03
494,2253156720.00,00
495,2253168650.00,00
496,2253180590.00,13
497,2253192520.00,00
498,2253204460.00,11
499,2253216390.00,10
500,2253228330.00,01
501,2253240260.00,D1
502,2253252200.00,F4
503,2263072100.00,B5
504,2263084030.00,62
505,2263095970.00,06
506,2263107900.00,8A
507,2263119840.00,09
508,2263131770.00,00
509,2263143710.00,00
510,2263155640.00,03
511,2263167580.00,00
512,2263179510.00,00
513,2263191450.00,D6
514,2263203380.00,00
515,2263215320.00,11
516,2263227250.00,20
517,2263239190.00,00
518,2263251120.00,A3
519,2263263060.00,E2
520,2273080610.00,B5
521,2273092550.00,62
522,2273104480.00,06
523,2273116420.00,8A
524,2273128350.00,09
525,2273140290.00,00
526,2273152220.00,00
527,2273164160.00,03
528,2273176090.00,00
529,2273188030.00,00
530,2273199960.00,A3
531,2273211900.00,00
532,2273223830.00,11
533,2273235770.00,20
534,2273247700.00,19
535,2273259640.00,89
536,2273271570.00,FC
537,2283073480.00,B5
538,2283085420.00,62
539,2283097350.00,06
540,2283109290.00,8A
541,2283121220.00,0A
542,2283133160.00,00
543,2283145090.00,00
544,2283157030.00,03
545,2283168960.00,00
546,2283180900.00,00
547,2283192830.00,01
548,2283204770.00,00
549,2283216700.00,21
550,2283228640.00,30
551,2283240570.00,C8
552,2283252510.00,00
553,2283264440.00,B7
554,2283276380.00,93
555,2293062430.00,B5
556,2293074360.00,62
557,2293086300.00,06
558,2293098230.00,8A
559,2293110170.00,0A
560,2293122100.00,00
