Index,Start,Time,Type,Data,
0,1.525 ¦Ìs,8.7 ¦Ìs,RX data,00,
1,1.525 ¦Ìs,8.7 ¦Ìs,TX data,00,
2,11.85 ¦Ìs,8.7 ¦Ìs,RX data,40,
3,11.85 ¦Ìs,8.7 ¦Ìs,TX data,E0,
4,1.022656 s,8.7 ¦Ìs,RX data,B5,
5,1.022668 s,8.7 ¦Ìs,RX data,62,
6,1.02268 s,8.7 ¦Ìs,RX data,0A,
7,1.022692 s,8.7 ¦Ìs,RX data,04,
8,1.022704 s,8.7 ¦Ìs,RX data,00,
9,1.022716 s,8.7 ¦Ìs,RX data,00,
10,1.022728 s,8.7 ¦Ìs,RX data,0E,
11,1.022739 s,8.7 ¦Ìs,RX data,34,
12,1.023192 s,8.7 ¦Ìs,TX data,B5,
13,1.023203 s,8.7 ¦Ìs,TX data,62,
14,1.023213 s,8.7 ¦Ìs,TX data,0A,
15,1.023224 s,8.7 ¦Ìs,TX data,04,
16,1.023235 s,8.7 ¦Ìs,TX data,A0,
17,1.023246 s,8.7 ¦Ìs,TX data,00,
18,1.023257 s,8.7 ¦Ìs,TX data,52,
19,1.023268 s,8.7 ¦Ìs,TX data,4F,
20,1.023279 s,8.7 ¦Ìs,TX data,4D,
21,1.023289 s,8.7 ¦Ìs,TX data,20,
22,1.0233 s,8.7 ¦Ìs,TX data,53,
23,1.023311 s,8.7 ¦Ìs,TX data,50,
24,1.023322 s,8.7 ¦Ìs,TX data,47,
25,1.023333 s,8.7 ¦Ìs,TX data,20,
26,1.023344 s,8.7 ¦Ìs,TX data,35,
27,1.023355 s,8.7 ¦Ìs,TX data,2E,
28,1.023365 s,8.7 ¦Ìs,TX data,31,
29,1.023376 s,8.7 ¦Ìs,TX data,30,
30,1.023387 s,8.7 ¦Ìs,TX data,20,
31,1.023398 s,8.7 ¦Ìs,TX data,28,
32,1.023409 s,8.7 ¦Ìs,TX data,37,
33,1.02342 s,8.7 ¦Ìs,TX data,62,
34,1.023431 s,8.7 ¦Ìs,TX data,32,
35,1.023441 s,8.7 ¦Ìs,TX data,30,
36,1.023452 s,8.7 ¦Ìs,TX data,32,
37,1.023463 s,8.7 ¦Ìs,TX data,65,
38,1.023474 s,8.7 ¦Ìs,TX data,29,
39,1.023485 s,8.7 ¦Ìs,TX data,00,
40,1.023496 s,8.7 ¦Ìs,TX data,00,
41,1.023507 s,8.7 ¦Ìs,TX data,00,
42,1.023518 s,8.7 ¦Ìs,TX data,00,
43,1.023528 s,8.7 ¦Ìs,TX data,00,
44,1.023539 s,8.7 ¦Ìs,TX data,00,
45,1.02355 s,8.7 ¦Ìs,TX data,00,
46,1.023561 s,8.7 ¦Ìs,TX data,00,
47,1.023572 s,8.7 ¦Ìs,TX data,00,
48,1.023583 s,8.7 ¦Ìs,TX data,30,
49,1.023594 s,8.7 ¦Ìs,TX data,30,
50,1.023604 s,8.7 ¦Ìs,TX data,31,
51,1.023615 s,8.7 ¦Ìs,TX data,39,
52,1.023626 s,8.7 ¦Ìs,TX data,30,
53,1.023637 s,8.7 ¦Ìs,TX data,30,
54,1.023648 s,8.7 ¦Ìs,TX data,30,
55,1.023659 s,8.7 ¦Ìs,TX data,30,
56,1.02367 s,8.7 ¦Ìs,TX data,00,
57,1.02368 s,8.7 ¦Ìs,TX data,00,
58,1.023691 s,8.7 ¦Ìs,TX data,46,
59,1.023702 s,8.7 ¦Ìs,TX data,57,
60,1.023713 s,8.7 ¦Ìs,TX data,56,
61,1.023724 s,8.7 ¦Ìs,TX data,45,
62,1.023735 s,8.7 ¦Ìs,TX data,52,
63,1.023746 s,8.7 ¦Ìs,TX data,3D,
64,1.023756 s,8.7 ¦Ìs,TX data,53,
65,1.023767 s,8.7 ¦Ìs,TX data,50,
66,1.023778 s,8.7 ¦Ìs,TX data,47,
67,1.023789 s,8.7 ¦Ìs,TX data,20,
68,1.0238 s,8.7 ¦Ìs,TX data,35,
69,1.023811 s,8.7 ¦Ìs,TX data,2E,
70,1.023822 s,8.7 ¦Ìs,TX data,31,
71,1.023832 s,8.7 ¦Ìs,TX data,30,
72,1.023843 s,8.7 ¦Ìs,TX data,00,
73,1.023854 s,8.7 ¦Ìs,TX data,00,
74,1.023865 s,8.7 ¦Ìs,TX data,00,
75,1.023876 s,8.7 ¦Ìs,TX data,00,
76,1.023887 s,8.7 ¦Ìs,TX data,00,
77,1.023898 s,8.7 ¦Ìs,TX data,00,
78,1.023908 s,8.7 ¦Ìs,TX data,00,
79,1.023919 s,8.7 ¦Ìs,TX data,00,
80,1.02393 s,8.7 ¦Ìs,TX data,00,
81,1.023941 s,8.7 ¦Ìs,TX data,00,
82,1.023952 s,8.7 ¦Ìs,TX data,00,
83,1.023963 s,8.7 ¦Ìs,TX data,00,
84,1.023974 s,8.7 ¦Ìs,TX data,00,
85,1.023984 s,8.7 ¦Ìs,TX data,00,
86,1.023995 s,8.7 ¦Ìs,TX data,00,
87,1.024006 s,8.7 ¦Ìs,TX data,00,
88,1.024017 s,8.7 ¦Ìs,TX data,50,
89,1.024028 s,8.7 ¦Ìs,TX data,52,
90,1.024039 s,8.7 ¦Ìs,TX data,4F,
91,1.02405 s,8.7 ¦Ìs,TX data,54,
92,1.024061 s,8.7 ¦Ìs,TX data,56,
93,1.024071 s,8.7 ¦Ìs,TX data,45,
94,1.024082 s,8.7 ¦Ìs,TX data,52,
95,1.024093 s,8.7 ¦Ìs,TX data,3D,
96,1.024104 s,8.7 ¦Ìs,TX data,33,
97,1.024115 s,8.7 ¦Ìs,TX data,34,
98,1.024126 s,8.7 ¦Ìs,TX data,2E,
99,1.024137 s,8.7 ¦Ìs,TX data,31,
100,1.024147 s,8.7 ¦Ìs,TX data,30,
101,1.024158 s,8.7 ¦Ìs,TX data,00,
102,1.024169 s,8.7 ¦Ìs,TX data,00,
103,1.02418 s,8.7 ¦Ìs,TX data,00,
104,1.024191 s,8.7 ¦Ìs,TX data,00,
105,1.024202 s,8.7 ¦Ìs,TX data,00,
106,1.024213 s,8.7 ¦Ìs,TX data,00,
107,1.024223 s,8.7 ¦Ìs,TX data,00,
108,1.024234 s,8.7 ¦Ìs,TX data,00,
109,1.024245 s,8.7 ¦Ìs,TX data,00,
110,1.024256 s,8.7 ¦Ìs,TX data,00,
111,1.024267 s,8.7 ¦Ìs,TX data,00,
112,1.024278 s,8.7 ¦Ìs,TX data,00,
113,1.024289 s,8.7 ¦Ìs,TX data,00,
114,1.024299 s,8.7 ¦Ìs,TX data,00,
115,1.02431 s,8.7 ¦Ìs,TX data,00,
116,1.024321 s,8.7 ¦Ìs,TX data,00,
117,1.024332 s,8.7 ¦Ìs,TX data,00,
118,1.024343 s,8.7 ¦Ìs,TX data,47,
119,1.024354 s,8.7 ¦Ìs,TX data,50,
