Index,Start,Time,Type,Data,
0,1.01642 s,8.7 ¦Ìs,RX data,B5,
1,1.016432 s,8.7 ¦Ìs,RX data,62,
2,1.016443 s,8.7 ¦Ìs,RX data,0A,
3,1.016455 s,8.7 ¦Ìs,RX data,04,
4,1.016467 s,8.7 ¦Ìs,RX data,00,
5,1.016479 s,8.7 ¦Ìs,RX data,00,
6,1.016491 s,8.7 ¦Ìs,RX data,0E,
7,1.016503 s,8.7 ¦Ìs,RX data,34,
8,1.016959 s,8.7 ¦Ìs,TX data,B5,
9,1.016969 s,8.7 ¦Ìs,TX data,62,
10,1.01698 s,8.7 ¦Ìs,TX data,0A,
11,1.016991 s,8.7 ¦Ìs,TX data,04,
12,1.017002 s,8.7 ¦Ìs,TX data,A0,
13,1.017013 s,8.7 ¦Ìs,TX data,00,
14,1.017024 s,8.7 ¦Ìs,TX data,52,
15,1.017035 s,8.7 ¦Ìs,TX data,4F,
16,1.017045 s,8.7 ¦Ìs,TX data,4D,
17,1.017056 s,8.7 ¦Ìs,TX data,20,
18,1.017067 s,8.7 ¦Ìs,TX data,53,
19,1.017078 s,8.7 ¦Ìs,TX data,50,
20,1.017089 s,8.7 ¦Ìs,TX data,47,
21,1.0171 s,8.7 ¦Ìs,TX data,20,
22,1.017111 s,8.7 ¦Ìs,TX data,35,
23,1.017121 s,8.7 ¦Ìs,TX data,2E,
24,1.017132 s,8.7 ¦Ìs,TX data,31,
25,1.017143 s,8.7 ¦Ìs,TX data,30,
26,1.017154 s,8.7 ¦Ìs,TX data,20,
27,1.017165 s,8.7 ¦Ìs,TX data,28,
28,1.017176 s,8.7 ¦Ìs,TX data,37,
29,1.017187 s,8.7 ¦Ìs,TX data,62,
30,1.017197 s,8.7 ¦Ìs,TX data,32,
31,1.017208 s,8.7 ¦Ìs,TX data,30,
32,1.017219 s,8.7 ¦Ìs,TX data,32,
33,1.01723 s,8.7 ¦Ìs,TX data,65,
34,1.017241 s,8.7 ¦Ìs,TX data,29,
35,1.017252 s,8.7 ¦Ìs,TX data,00,
36,1.017263 s,8.7 ¦Ìs,TX data,00,
37,1.017273 s,8.7 ¦Ìs,TX data,00,
38,1.017284 s,8.7 ¦Ìs,TX data,00,
39,1.017295 s,8.7 ¦Ìs,TX data,00,
40,1.017306 s,8.7 ¦Ìs,TX data,00,
41,1.017317 s,8.7 ¦Ìs,TX data,00,
42,1.017328 s,8.7 ¦Ìs,TX data,00,
43,1.017339 s,8.7 ¦Ìs,TX data,00,
44,1.01735 s,8.7 ¦Ìs,TX data,30,
45,1.01736 s,8.7 ¦Ìs,TX data,30,
46,1.017371 s,8.7 ¦Ìs,TX data,30,
47,1.017382 s,8.7 ¦Ìs,TX data,41,
48,1.017393 s,8.7 ¦Ìs,TX data,30,
49,1.017404 s,8.7 ¦Ìs,TX data,30,
50,1.017415 s,8.7 ¦Ìs,TX data,30,
51,1.017426 s,8.7 ¦Ìs,TX data,30,
52,1.017436 s,8.7 ¦Ìs,TX data,00,
53,1.017447 s,8.7 ¦Ìs,TX data,00,
54,1.017458 s,8.7 ¦Ìs,TX data,46,
55,1.017469 s,8.7 ¦Ìs,TX data,57,
56,1.01748 s,8.7 ¦Ìs,TX data,56,
57,1.017491 s,8.7 ¦Ìs,TX data,45,
58,1.017502 s,8.7 ¦Ìs,TX data,52,
59,1.017512 s,8.7 ¦Ìs,TX data,3D,
60,1.017523 s,8.7 ¦Ìs,TX data,53,
61,1.017534 s,8.7 ¦Ìs,TX data,50,
62,1.017545 s,8.7 ¦Ìs,TX data,47,
63,1.017556 s,8.7 ¦Ìs,TX data,20,
64,1.017567 s,8.7 ¦Ìs,TX data,35,
65,1.017578 s,8.7 ¦Ìs,TX data,2E,
66,1.017588 s,8.7 ¦Ìs,TX data,31,
67,1.017599 s,8.7 ¦Ìs,TX data,30,
68,1.01761 s,8.7 ¦Ìs,TX data,00,
69,1.017621 s,8.7 ¦Ìs,TX data,00,
70,1.017632 s,8.7 ¦Ìs,TX data,00,
71,1.017643 s,8.7 ¦Ìs,TX data,00,
72,1.017654 s,8.7 ¦Ìs,TX data,00,
73,1.017664 s,8.7 ¦Ìs,TX data,00,
74,1.017675 s,8.7 ¦Ìs,TX data,00,
75,1.017686 s,8.7 ¦Ìs,TX data,00,
76,1.017697 s,8.7 ¦Ìs,TX data,00,
77,1.017708 s,8.7 ¦Ìs,TX data,00,
78,1.017719 s,8.7 ¦Ìs,TX data,00,
79,1.01773 s,8.7 ¦Ìs,TX data,00,
80,1.01774 s,8.7 ¦Ìs,TX data,00,
81,1.017751 s,8.7 ¦Ìs,TX data,00,
82,1.017762 s,8.7 ¦Ìs,TX data,00,
83,1.017773 s,8.7 ¦Ìs,TX data,00,
84,1.017784 s,8.7 ¦Ìs,TX data,50,
85,1.017795 s,8.7 ¦Ìs,TX data,52,
86,1.017806 s,8.7 ¦Ìs,TX data,4F,
87,1.017816 s,8.7 ¦Ìs,TX data,54,
88,1.017827 s,8.7 ¦Ìs,TX data,56,
89,1.017838 s,8.7 ¦Ìs,TX data,45,
90,1.017849 s,8.7 ¦Ìs,TX data,52,
91,1.01786 s,8.7 ¦Ìs,TX data,3D,
92,1.017871 s,8.7 ¦Ìs,TX data,33,
93,1.017882 s,8.7 ¦Ìs,TX data,34,
94,1.017892 s,8.7 ¦Ìs,TX data,2E,
95,1.017903 s,8.7 ¦Ìs,TX data,31,
96,1.017914 s,8.7 ¦Ìs,TX data,30,
97,1.017925 s,8.7 ¦Ìs,TX data,00,
98,1.017936 s,8.7 ¦Ìs,TX data,00,
99,1.017947 s,8.7 ¦Ìs,TX data,00,
100,1.017958 s,8.7 ¦Ìs,TX data,00,
101,1.017969 s,8.7 ¦Ìs,TX data,00,
102,1.017979 s,8.7 ¦Ìs,TX data,00,
103,1.01799 s,8.7 ¦Ìs,TX data,00,
104,1.018001 s,8.7 ¦Ìs,TX data,00,
105,1.018012 s,8.7 ¦Ìs,TX data,00,
106,1.018023 s,8.7 ¦Ìs,TX data,00,
107,1.018034 s,8.7 ¦Ìs,TX data,00,
108,1.018045 s,8.7 ¦Ìs,TX data,00,
109,1.018055 s,8.7 ¦Ìs,TX data,00,
110,1.018066 s,8.7 ¦Ìs,TX data,00,
111,1.018077 s,8.7 ¦Ìs,TX data,00,
112,1.018088 s,8.7 ¦Ìs,TX data,00,
113,1.018099 s,8.7 ¦Ìs,TX data,00,
114,1.01811 s,8.7 ¦Ìs,TX data,47,
115,1.018121 s,8.7 ¦Ìs,TX data,50,
116,1.018131 s,8.7 ¦Ìs,TX data,53,
117,1.018142 s,8.7 ¦Ìs,TX data,3B,
118,1.018153 s,8.7 ¦Ìs,TX data,47,
119,1.018164 s,8.7 ¦Ìs,TX data,4C,
120,1.018175 s,8.7 ¦Ìs,TX data,4F,
121,1.018186 s,8.7 ¦Ìs,TX data,3B,
122,1.018197 s,8.7 ¦Ìs,TX data,47,
123,1.018207 s,8.7 ¦Ìs,TX data,41,
