Id,Time[ns],0:UART: RX/TX
285,1859544320.00,06
286,1859555160.00,8A
287,1859566040.00,98
288,1859576880.00,C1
289,1869468160.00,B5
290,1869479020.00,62
291,1869489880.00,05
292,1869500740.00,01
293,1869511600.00,02
294,1869522460.00,00
295,1869533320.00,06
296,1869544180.00,8A
297,1869555040.00,98
298,1869565900.00,C1
299,1879458600.00,B5
300,1879469460.00,62
301,1879480320.00,05
302,1879491180.00,01
303,1879502040.00,02
304,1879512900.00,00
305,1879523760.00,06
306,1879534620.00,8A
307,1879545480.00,98
308,1879556340.00,C1
309,1889481120.00,B5
310,1889492000.00,62
311,1889502840.00,05
312,1889513720.00,01
313,1889524560.00,02
314,1889535440.00,00
315,1889546280.00,06
316,1889557160.00,8A
317,1889568000.00,98
318,1889578860.00,C1
319,1899471700.00,B5
320,1899482560.00,62
321,1899493420.00,05
322,1899504280.00,01
323,1899515140.00,02
324,1899526000.00,00
325,1899536860.00,06
326,1899547720.00,8A
327,1899558580.00,98
328,1899569440.00,C1
329,1909527160.00,B5
330,1909538020.00,62
331,1909548880.00,05
332,1909559740.00,01
333,1909570600.00,02
334,1909581460.00,00
335,1909592320.00,06
336,1909603180.00,8A
337,1909614040.00,98
338,1909624900.00,C1
339,1919470560.00,B5
340,1919481420.00,62
341,1919492280.00,05
342,1919503140.00,01
343,1919514000.00,02
344,1919524860.00,00
345,1919535720.00,06
346,1919546580.00,8A
347,1919557440.00,98
348,1919568300.00,C1
349,1929481700.00,B5
350,1929492540.00,62
351,1929503420.00,05
352,1929514260.00,01
353,1929525140.00,02
354,1929535980.00,00
355,1929546860.00,06
356,1929557700.00,8A
357,1929568560.00,98
358,1929579420.00,C1
359,1940547500.00,B5
360,1940558340.00,62
361,1940569220.00,05
362,1940580060.00,01
363,1940590940.00,02
364,1940601780.00,00
365,1940612640.00,06
366,1940623500.00,8A
367,1940634360.00,98
368,1940645220.00,C1
369,1949941660.00,B5
370,1949952520.00,62
371,1949963380.00,05
372,1949974240.00,01
373,1949985100.00,02
374,1949995960.00,00
375,1950006820.00,06
376,1950017680.00,8A
377,1950028540.00,98
378,1950039400.00,C1
379,1959653140.00,B5
380,1959664020.00,62
381,1959674860.00,05
382,1959685740.00,01
383,1959696580.00,02
384,1959707460.00,00
385,1959718300.00,06
386,1959729160.00,8A
387,1959740020.00,98
388,1959750880.00,C1
389,1969519580.00,B5
390,1969530440.00,62
391,1969541300.00,05
392,1969552160.00,01
393,1969563020.00,02
394,1969573880.00,00
395,1969584740.00,06
396,1969595600.00,8A
397,1969606460.00,98
398,1969617320.00,C1
399,1979798200.00,B5
400,1979809060.00,62
401,1979819920.00,05
402,1979830780.00,01
403,1979841640.00,02
404,1979852500.00,00
405,1979863360.00,06
406,1979874220.00,8A
407,1979885080.00,98
408,1979895940.00,C1
409,1990922900.00,B5
410,1990933780.00,62
411,1990944620.00,05
412,1990955500.00,01
413,1990966340.00,02
414,1990977200.00,00
415,1990988060.00,06
416,1990998920.00,8A
417,1991009780.00,98
418,1991020640.00,C1
419,1999686020.00,B5
420,1999696860.00,62
421,1999707740.00,05
422,1999718580.00,01
423,1999729460.00,02
424,1999740300.00,00
425,1999751180.00,06
426,1999762020.00,8A
427,1999772880.00,98
428,1999783740.00,C1
429,2009462300.00,B5
430,2009473180.00,62
431,2009484020.00,05
432,2009494900.00,01
433,2009505740.00,02
434,2009516620.00,00
435,2009527460.00,06
436,2009538320.00,8A
437,2009549180.00,98
438,2009560040.00,C1
439,2019475140.00,B5
440,2019486000.00,62
441,2019496860.00,05
442,2019507720.00,01
443,2019518580.00,02
444,2019529440.00,00
445,2019540300.00,06
446,2019551160.00,8A
447,2019562020.00,98
448,2019572880.00,C1
449,2029513020.00,B5
450,2029523880.00,62
451,2029534740.00,05
452,2029545600.00,01
453,2029556460.00,02
454,2029567320.00,00
455,2029578180.00,06
456,2029589040.00,8A
457,2029599900.00,98
458,2029610760.00,C1
459,2039572740.00,B5
460,2039583620.00,62
461,2039594460.00,05
462,2039605340.00,01
463,2039616180.00,02
464,2039627060.00,00
465,2039637900.00,06
466,2039648780.00,09
467,2039659620.00,17
468,2039670480.00,40
469,2049785460.00,B5
470,2049796320.00,62
471,2049807180.00,05
472,2049818040.00,01
473,2049828900.00,02
474,2049839760.00,00
475,2049850620.00,06
476,2049861480.00,8A
477,2049872340.00,98
478,2049883200.00,C1
479,2261920120.00,B5
480,2261930980.00,62
481,2261941840.00,01
482,2261952700.00,07
483,2261963560.00,5C
484,2261974420.00,00
485,2261985280.00,F3
486,2261996140.00,05
487,2262007000.00,00
488,2262017860.00,00
489,2262028720.00,E9
490,2262039580.00,07
491,2262050440.00,01
492,2262061300.00,0C
493,2262072160.00,00
494,2262083020.00,00
495,2262093880.00,01
496,2262104740.00,37
497,2262115600.00,06
498,2262126460.00,00
499,2262137320.00,00
500,2262148180.00,00
501,2262159040.00,FD
502,2262169880.00,89
503,2262180760.00,DE
504,2262191600.00,11
505,2262202480.00,03
506,2262213320.00,01
507,2262224200.00,0E
508,2262235040.00,12
509,2262245900.00,11
510,2262256760.00,AE
511,2262267620.00,33
512,2262278480.00,D0
513,2262289340.00,A2
514,2262300200.00,13
515,2262311060.00,5F
516,2262321920.00,0F
517,2262332780.00,E9
518,2262343640.00,1E
519,2262354500.00,01
520,2262365360.00,00
521,2262376220.00,26
522,2262387080.00,8A
523,2262397940.00,01
524,2262408800.00,00
525,2262419660.00,9B
526,2262430520.00,05
527,2262441380.00,00
528,2262452240.00,00
529,2262463100.00,19
530,2262473960.00,08
531,2262484820.00,00
532,2262495680.00,00
533,2262506540.00,FE
534,2262517400.00,FF
535,2262528260.00,FF
536,2262539120.00,FF
537,2262549980.00,01
538,2262560840.00,00
539,2262571700.00,00
540,2262582560.00,00
541,2262593420.00,01
542,2262604280.00,00
543,2262615140.00,00
544,2262626000.00,00
545,2262636860.00,00
546,2262647700.00,00
547,2262658580.00,00
548,2262669420.00,00
549,2262680300.00,DA
550,2262691140.00,8A
551,2262702020.00,C7
552,2262712860.00,00
553,2262723720.00,08
554,2262734580.00,00
555,2262745440.00,00
556,2262756300.00,00
557,2262767160.00,9E
558,2262778020.00,D8
559,2262788880.00,F0
560,2262799740.00,00
561,2262810600.00,6E
562,2262821460.00,00
563,2262832320.00,00
564,2262843180.00,00
565,2262854040.00,00
566,2262864900.00,00
567,2262875760.00,00
568,2262886620.00,00
569,2262897480.00,E0
570,2262908340.00,4A
571,2262919200.00,23
572,2262930060.00,00
573,2262940920.00,00
574,2262951780.00,00
575,2262962640.00,00
576,2262973500.00,00
577,2262984360.00,E0
578,2262995220.00,70
579,2263006080.00,B5
580,2263016940.00,62
581,2263027800.00,01
582,2263038660.00,01
583,2263049520.00,14
584,2263060380.00,00
585,2263071240.00,F3
586,2263082080.00,05
587,2263092960.00,00
588,2263103800.00,00
589,2263114680.00,7B
590,2263125520.00,B0
591,2263136400.00,DD
592,2263147240.00,05
593,2263158120.00,16
594,2263168960.00,70
595,2263179820.00,40
596,2263190680.00,DE
597,2263201540.00,93
598,2263212400.00,76
599,2263223260.00,6F
600,2263234120.00,10
601,2263244980.00,FC
602,2263255840.00,00
603,2263266700.00,00
604,2263277560.00,00
605,2263288420.00,43
606,2263299280.00,6B
607,2263310140.00,B5
608,2263321000.00,62
609,2263331860.00,01
610,2263342720.00,02
