Id,Time[ns],0:UART: RX/TX
285,2915464650.00,00
286,2915475500.00,06
287,2915486350.00,8A
288,2915497200.00,98
289,2915508050.00,C1
290,2925138350.00,B5
291,2925149250.00,62
292,2925160050.00,05
293,2925170950.00,01
294,2925181750.00,02
295,2925192650.00,00
296,2925203450.00,06
297,2925214350.00,8A
298,2925225150.00,98
299,2925236000.00,C1
300,2935237750.00,B5
301,2935248600.00,62
302,2935259450.00,05
303,2935270300.00,01
304,2935281150.00,02
305,2935292000.00,00
306,2935302850.00,06
307,2935313700.00,8A
308,2935324550.00,98
309,2935335400.00,C1
310,2945221900.00,B5
311,2945232750.00,62
312,2945243600.00,05
313,2945254450.00,01
314,2945265300.00,02
315,2945276150.00,00
316,2945287000.00,06
317,2945297850.00,8A
318,2945308700.00,98
319,2945319550.00,C1
320,2955137600.00,B5
321,2955148450.00,62
322,2955159300.00,05
323,2955170150.00,01
324,2955181000.00,02
325,2955191850.00,00
326,2955202700.00,06
327,2955213550.00,8A
328,2955224350.00,98
329,2955235250.00,C1
330,2965168450.00,B5
331,2965179300.00,62
332,2965190150.00,05
333,2965201000.00,01
334,2965211850.00,02
335,2965222700.00,00
336,2965233550.00,06
337,2965244400.00,8A
338,2965255250.00,98
339,2965266100.00,C1
340,2975188150.00,B5
341,2975199000.00,62
342,2975209850.00,05
343,2975220700.00,01
344,2975231550.00,02
345,2975242400.00,00
346,2975253250.00,06
347,2975264100.00,8A
348,2975274950.00,98
349,2975285800.00,C1
350,2985108500.00,B5
351,2985119350.00,62
352,2985130200.00,05
353,2985141050.00,01
354,2985151900.00,02
355,2985162750.00,00
356,2985173600.00,06
357,2985184450.00,8A
358,2985195300.00,98
359,2985206150.00,C1
360,2996169600.00,B5
361,2996180450.00,62
362,2996191300.00,05
363,2996202150.00,01
364,2996213000.00,02
365,2996223850.00,00
366,2996234700.00,06
367,2996245550.00,8A
368,2996256400.00,98
369,2996267250.00,C1
370,3005564600.00,B5
371,3005575450.00,62
372,3005586300.00,05
373,3005597150.00,01
374,3005608000.00,02
375,3005618850.00,00
376,3005629700.00,06
377,3005640550.00,8A
378,3005651400.00,98
379,3005662250.00,C1
380,3015247450.00,B5
381,3015258350.00,62
382,3015269150.00,05
383,3015280050.00,01
384,3015290850.00,02
385,3015301700.00,00
386,3015312550.00,06
387,3015323400.00,8A
388,3015334250.00,98
389,3015345100.00,C1
390,3025188300.00,B5
391,3025199150.00,62
392,3025210000.00,05
393,3025220850.00,01
394,3025231700.00,02
395,3025242550.00,00
396,3025253400.00,06
397,3025264250.00,8A
398,3025275100.00,98
399,3025285950.00,C1
400,3035270700.00,B5
401,3035281550.00,62
402,3035292400.00,05
403,3035303250.00,01
404,3035314100.00,02
405,3035324950.00,00
406,3035335800.00,06
407,3035346650.00,8A
408,3035357500.00,98
409,3035368350.00,C1
410,3046418400.00,B5
411,3046429250.00,62
412,3046440100.00,05
413,3046450950.00,01
414,3046461800.00,02
415,3046472650.00,00
416,3046483500.00,06
417,3046494350.00,8A
418,3046505200.00,98
419,3046516050.00,C1
420,3055334850.00,B5
421,3055345700.00,62
422,3055356550.00,05
423,3055367400.00,01
424,3055378250.00,02
425,3055389100.00,00
426,3055399950.00,06
427,3055410800.00,8A
428,3055421650.00,98
429,3055432500.00,C1
430,3065253850.00,B5
431,3065264700.00,62
432,3065275550.00,05
433,3065286400.00,01
434,3065297250.00,02
435,3065308100.00,00
436,3065318950.00,06
437,3065329800.00,8A
438,3065340650.00,98
439,3065351500.00,C1
440,3075261350.00,B5
441,3075272200.00,62
442,3075283050.00,05
443,3075293900.00,01
444,3075304750.00,02
445,3075315600.00,00
446,3075326450.00,06
447,3075337300.00,8A
448,3075348150.00,98
449,3075359000.00,C1
450,3085377750.00,B5
451,3085388600.00,62
452,3085399450.00,05
453,3085410300.00,01
454,3085421150.00,02
455,3085432000.00,00
456,3085442850.00,06
457,3085453700.00,8A
458,3085464550.00,98
459,3085475400.00,C1
460,3096271300.00,B5
461,3096282150.00,62
462,3096293000.00,05
463,3096303850.00,01
464,3096314700.00,02
465,3096325550.00,00
466,3096336400.00,06
467,3096347250.00,09
468,3096358100.00,17
469,3096368950.00,40
470,3105684150.00,B5
471,3105695000.00,62
472,3105705850.00,05
473,3105716700.00,01
474,3105727550.00,02
475,3105738400.00,00
476,3105749250.00,06
477,3105760100.00,8A
478,3105770950.00,98
479,3105781800.00,C1
480,3311332050.00,B5
481,3311342900.00,62
482,3311353750.00,0A
483,3311364600.00,38
484,3311375450.00,04
485,3311386300.00,00
486,3311397150.00,00
487,3311408000.00,00
488,3311418850.00,00
489,3311429700.00,00
490,3311440550.00,46
491,3311451400.00,F0
492,3312353850.00,B5
493,3312364700.00,62
494,3312375550.00,01
495,3312386400.00,07
496,3312397250.00,5C
497,3312408100.00,00
498,3312418950.00,00
499,3312429800.00,00
500,3312440650.00,00
501,3312451500.00,00
502,3312462350.00,E5
503,3312473200.00,07
504,3312484050.00,03
505,3312494900.00,07
506,3312505750.00,00
507,3312516600.00,00
508,3312527450.00,00
509,3312538300.00,F0
510,3312549150.00,FF
511,3312560000.00,FF
512,3312570850.00,FF
513,3312581700.00,FF
514,3312592550.00,00
515,3312603400.00,00
516,3312614250.00,00
517,3312625100.00,00
518,3312635950.00,00
519,3312646800.00,00
520,3312657650.00,24
521,3312668500.00,00
522,3312679350.00,00
523,3312690200.00,00
524,3312701050.00,00
525,3312711900.00,00
526,3312722750.00,00
527,3312733600.00,00
528,3312744450.00,00
529,3312755300.00,00
530,3312766150.00,00
531,3312777000.00,00
532,3312787850.00,00
533,3312798700.00,00
534,3312809550.00,98
535,3312820400.00,BD
536,3312831250.00,FF
537,3312842100.00,FF
538,3312852950.00,FF
539,3312863800.00,FF
540,3312874650.00,FF
541,3312885500.00,FF
542,3312896350.00,00
543,3312907200.00,76
544,3312918050.00,84
545,3312928900.00,DF
546,3312939750.00,00
547,3312950600.00,00
548,3312961450.00,00
549,3312972300.00,00
550,3312983150.00,00
551,3312994000.00,00
552,3313004850.00,00
553,3313015700.00,00
554,3313026550.00,00
555,3313037400.00,00
556,3313048250.00,00
557,3313059100.00,00
558,3313069950.00,00
559,3313080800.00,00
560,3313091650.00,00
561,3313102500.00,00
562,3313113350.00,00
563,3313124200.00,00
564,3313135050.00,00
565,3313145900.00,00
566,3313156750.00,58
567,3313167600.00,3E
568,3313178450.00,0F
569,3313189300.00,00
570,3313200150.00,80
571,3313211000.00,A8
572,3313221800.00,12
573,3313232700.00,01
574,3313243500.00,0F
575,3313254350.00,27
576,3313265200.00,00
577,3313276050.00,00
578,3313286900.00,5C
579,3313297750.00,40
580,3313308600.00,56
581,3313319450.00,2F
582,3313330300.00,00
583,3313341150.00,00
584,3313352000.00,00
585,3313362850.00,00
586,3313373700.00,00
587,3313384550.00,00
588,3313395400.00,00
589,3313406250.00,00
590,3313417100.00,C9
591,3313427950.00,2D
592,3313438800.00,B5
593,3313449650.00,62
594,3313460500.00,01
595,3313471350.00,01
596,3313482200.00,14
597,3313493050.00,00
598,3313503900.00,00
599,3313514750.00,00
600,3313525600.00,00
601,3313536450.00,00
602,3313547300.00,C4
