Index,Start,Time,Type,Data,
0,1.028211 s,8.7 ¦Ìs,RX data,B5,
1,1.028223 s,8.7 ¦Ìs,RX data,62,
2,1.028235 s,8.7 ¦Ìs,RX data,0A,
3,1.028247 s,8.7 ¦Ìs,RX data,04,
4,1.028259 s,8.7 ¦Ìs,RX data,00,
5,1.02827 s,8.7 ¦Ìs,RX data,00,
6,1.028282 s,8.7 ¦Ìs,RX data,0E,
7,1.028294 s,8.7 ¦Ìs,RX data,34,
8,1.02876 s,8.7 ¦Ìs,TX data,B5,
9,1.028771 s,8.7 ¦Ìs,TX data,62,
10,1.028782 s,8.7 ¦Ìs,TX data,0A,
11,1.028792 s,8.7 ¦Ìs,TX data,04,
12,1.028803 s,8.7 ¦Ìs,TX data,A0,
13,1.028814 s,8.7 ¦Ìs,TX data,00,
14,1.028825 s,8.7 ¦Ìs,TX data,52,
15,1.028836 s,8.7 ¦Ìs,TX data,4F,
16,1.028847 s,8.7 ¦Ìs,TX data,4D,
17,1.028858 s,8.7 ¦Ìs,TX data,20,
18,1.028868 s,8.7 ¦Ìs,TX data,53,
19,1.028879 s,8.7 ¦Ìs,TX data,50,
20,1.02889 s,8.7 ¦Ìs,TX data,47,
21,1.028901 s,8.7 ¦Ìs,TX data,20,
22,1.028912 s,8.7 ¦Ìs,TX data,35,
23,1.028923 s,8.7 ¦Ìs,TX data,2E,
24,1.028934 s,8.7 ¦Ìs,TX data,31,
25,1.028944 s,8.7 ¦Ìs,TX data,30,
26,1.028955 s,8.7 ¦Ìs,TX data,20,
27,1.028966 s,8.7 ¦Ìs,TX data,28,
28,1.028977 s,8.7 ¦Ìs,TX data,37,
29,1.028988 s,8.7 ¦Ìs,TX data,62,
30,1.028999 s,8.7 ¦Ìs,TX data,32,
31,1.02901 s,8.7 ¦Ìs,TX data,30,
32,1.029021 s,8.7 ¦Ìs,TX data,32,
33,1.029031 s,8.7 ¦Ìs,TX data,65,
34,1.029042 s,8.7 ¦Ìs,TX data,29,
35,1.029053 s,8.7 ¦Ìs,TX data,00,
36,1.029064 s,8.7 ¦Ìs,TX data,00,
37,1.029075 s,8.7 ¦Ìs,TX data,00,
38,1.029086 s,8.7 ¦Ìs,TX data,00,
39,1.029097 s,8.7 ¦Ìs,TX data,00,
40,1.029107 s,8.7 ¦Ìs,TX data,00,
41,1.029118 s,8.7 ¦Ìs,TX data,00,
42,1.029129 s,8.7 ¦Ìs,TX data,00,
43,1.02914 s,8.7 ¦Ìs,TX data,00,
44,1.029151 s,8.7 ¦Ìs,TX data,30,
45,1.029162 s,8.7 ¦Ìs,TX data,30,
46,1.029173 s,8.7 ¦Ìs,TX data,31,
47,1.029183 s,8.7 ¦Ìs,TX data,39,
48,1.029194 s,8.7 ¦Ìs,TX data,30,
49,1.029205 s,8.7 ¦Ìs,TX data,30,
50,1.029216 s,8.7 ¦Ìs,TX data,30,
51,1.029227 s,8.7 ¦Ìs,TX data,30,
52,1.029238 s,8.7 ¦Ìs,TX data,00,
53,1.029249 s,8.7 ¦Ìs,TX data,00,
54,1.029259 s,8.7 ¦Ìs,TX data,46,
55,1.02927 s,8.7 ¦Ìs,TX data,57,
56,1.029281 s,8.7 ¦Ìs,TX data,56,
57,1.029292 s,8.7 ¦Ìs,TX data,45,
58,1.029303 s,8.7 ¦Ìs,TX data,52,
59,1.029314 s,8.7 ¦Ìs,TX data,3D,
