Id,Time[ns],0:UART: RX/TX
282,1448532650.00,24
283,1448543500.00,47
284,1448554350.00,4E
285,1448565200.00,54
286,1448576050.00,58
287,1448586900.00,54
288,1448597750.00,2C
289,1448608600.00,30
290,1448619450.00,31
291,1448630300.00,2C
292,1448641150.00,30
293,1448651950.00,31
294,1448662850.00,2C
295,1448673650.00,30
296,1448684500.00,32
297,1448695350.00,2C
298,1448706200.00,53
299,1448717050.00,42
300,1448727900.00,41
301,1448738750.00,53
302,1448749600.00,3B
303,1448760450.00,51
304,1448771300.00,5A
305,1448782150.00,53
306,1448793000.00,53
307,1448803850.00,2A
308,1448814700.00,36
309,1448825550.00,30
310,1448836400.00,0D
311,1448847250.00,0A
312,1448858100.00,24
313,1448868950.00,47
314,1448879750.00,4E
315,1448890650.00,54
316,1448901450.00,58
317,1448912300.00,54
318,1448923150.00,2C
319,1448934000.00,30
320,1448944850.00,31
321,1448955700.00,2C
322,1448966550.00,30
323,1448977400.00,31
324,1448988250.00,2C
325,1448999100.00,30
326,1449009950.00,32
327,1449020800.00,2C
328,1449031650.00,41
329,1449042500.00,4E
330,1449053350.00,54
331,1449064200.00,53
332,1449075050.00,55
333,1449085900.00,50
334,1449096700.00,45
335,1449107550.00,52
336,1449118450.00,56
337,1449129250.00,3D
338,1449140100.00,2A
339,1449150950.00,32
340,1449161800.00,32
341,1449172650.00,0D
342,1449183500.00,0A
343,1449194350.00,24
344,1449205200.00,47
345,1449216050.00,4E
346,1449226900.00,54
347,1449237750.00,58
348,1449248600.00,54
349,1449259450.00,2C
350,1449270300.00,30
351,1449281150.00,31
352,1449291950.00,2C
353,1449302850.00,30
354,1449313700.00,31
355,1449324500.00,2C
356,1449335350.00,30
357,1449346200.00,32
358,1449357050.00,2C
359,1449367900.00,41
360,1449378750.00,4E
361,1449389600.00,54
362,1449400450.00,53
363,1449411300.00,54
364,1449422150.00,41
365,1449433000.00,54
366,1449443850.00,55
367,1449454700.00,53
368,1449465550.00,3D
369,1449476400.00,44
370,1449487250.00,4F
371,1449498100.00,4E
372,1449508950.00,54
373,1449519750.00,4B
374,1449530650.00,4E
375,1449541450.00,4F
376,1449552300.00,57
377,1449563150.00,2A
378,1449574000.00,32
379,1449584850.00,44
380,1449595700.00,0D
381,1449606550.00,0A
382,1449617400.00,24
383,1449628250.00,47
384,1449639100.00,4E
385,1449649950.00,54
386,1449660800.00,58
387,1449671650.00,54
388,1449682500.00,2C
389,1449693350.00,30
390,1449704200.00,31
391,1449715050.00,2C
392,1449725900.00,30
393,1449736750.00,31
394,1449747550.00,2C
395,1449758450.00,30
396,1449769250.00,32
397,1449780100.00,2C
398,1449790950.00,50
399,1449801800.00,46
400,1449812650.00,3D
401,1449823500.00,46
402,1449834350.00,37
403,1449845200.00,46
404,1449856050.00,46
405,1449866900.00,42
406,1449877750.00,2A
407,1449888600.00,34
408,1449899450.00,42
409,1449910300.00,0D
410,1449921150.00,0A
411,1449931950.00,24
412,1449942850.00,47
413,1449953700.00,4E
414,1449964500.00,54
415,1449975350.00,58
416,1449986250.00,54
417,1449997050.00,2C
418,1450007900.00,30
419,1450018750.00,31
420,1450029600.00,2C
421,1450040450.00,30
422,1450051300.00,31
423,1450062150.00,2C
424,1450073000.00,30
425,1450083850.00,32
426,1450094700.00,2C
427,1450105550.00,53
428,1450116400.00,74
429,1450127250.00,61
430,1450138100.00,72
431,1450148950.00,74
432,1450159750.00,69
433,1450170650.00,6E
434,1450181450.00,67
435,1450192300.00,20
436,1450203150.00,47
437,1450214000.00,4E
438,1450224850.00,53
439,1450235700.00,53
440,1450246550.00,2A
441,1450257400.00,35
442,1450268250.00,41
443,1450279100.00,0D
444,1450289950.00,0A
445,1450300800.00,24
446,1450311650.00,47
447,1450322500.00,4E
448,1450333350.00,52
449,1450344200.00,4D
450,1450355050.00,43
451,1450365900.00,2C
452,1450376750.00,2C
453,1450387550.00,56
454,1450398450.00,2C
455,1450409250.00,2C
456,1450420100.00,2C
457,1450430950.00,2C
458,1450441800.00,2C
459,1450452650.00,2C
460,1450463500.00,2C
461,1450474350.00,2C
462,1450485200.00,2C
463,1450496050.00,2C
464,1450506900.00,4E
465,1450517750.00,2C
466,1450528600.00,56
467,1450539450.00,2A
468,1450550300.00,33
469,1450561150.00,37
470,1450571950.00,0D
471,1450582850.00,0A
472,1450593700.00,24
473,1450604500.00,47
474,1450615350.00,4E
475,1450626250.00,56
476,1450637050.00,54
477,1450647900.00,47
478,1450658750.00,2C
479,1450669600.00,2C
480,1450680450.00,2C
481,1450691300.00,2C
482,1450702150.00,2C
483,1450713000.00,2C
484,1450723850.00,2C
485,1450734700.00,2C
486,1450745550.00,2C
487,1450756400.00,4E
488,1450767250.00,2A
489,1450778100.00,32
490,1450788950.00,45
491,1450799750.00,0D
492,1450810650.00,0A
493,1450821500.00,24
494,1450832300.00,47
495,1450843150.00,4E
