Index,Start,Time,Type,Data,
0,1.018815 s,8.7 ¦Ìs,RX data,B5,
1,1.018827 s,8.7 ¦Ìs,RX data,62,
2,1.018839 s,8.7 ¦Ìs,RX data,0A,
3,1.018851 s,8.7 ¦Ìs,RX data,04,
4,1.018863 s,8.7 ¦Ìs,RX data,00,
5,1.018875 s,8.7 ¦Ìs,RX data,00,
6,1.018887 s,8.7 ¦Ìs,RX data,0E,
7,1.018898 s,8.7 ¦Ìs,RX data,34,
8,1.019391 s,8.7 ¦Ìs,TX data,B5,
9,1.019402 s,8.7 ¦Ìs,TX data,62,
10,1.019413 s,8.7 ¦Ìs,TX data,0A,
11,1.019424 s,8.7 ¦Ìs,TX data,04,
12,1.019434 s,8.7 ¦Ìs,TX data,A0,
13,1.019445 s,8.7 ¦Ìs,TX data,00,
14,1.019456 s,8.7 ¦Ìs,TX data,52,
15,1.019467 s,8.7 ¦Ìs,TX data,4F,
16,1.019478 s,8.7 ¦Ìs,TX data,4D,
17,1.019489 s,8.7 ¦Ìs,TX data,20,
18,1.0195 s,8.7 ¦Ìs,TX data,53,
19,1.01951 s,8.7 ¦Ìs,TX data,50,
20,1.019521 s,8.7 ¦Ìs,TX data,47,
21,1.019532 s,8.7 ¦Ìs,TX data,20,
22,1.019543 s,8.7 ¦Ìs,TX data,35,
23,1.019554 s,8.7 ¦Ìs,TX data,2E,
24,1.019565 s,8.7 ¦Ìs,TX data,31,
25,1.019576 s,8.7 ¦Ìs,TX data,30,
26,1.019587 s,8.7 ¦Ìs,TX data,20,
27,1.019597 s,8.7 ¦Ìs,TX data,28,
28,1.019608 s,8.7 ¦Ìs,TX data,37,
29,1.019619 s,8.7 ¦Ìs,TX data,62,
30,1.01963 s,8.7 ¦Ìs,TX data,32,
31,1.019641 s,8.7 ¦Ìs,TX data,30,
32,1.019652 s,8.7 ¦Ìs,TX data,32,
33,1.019663 s,8.7 ¦Ìs,TX data,65,
34,1.019673 s,8.7 ¦Ìs,TX data,29,
35,1.019684 s,8.7 ¦Ìs,TX data,00,
36,1.019695 s,8.7 ¦Ìs,TX data,00,
37,1.019706 s,8.7 ¦Ìs,TX data,00,
38,1.019717 s,8.7 ¦Ìs,TX data,00,
39,1.019728 s,8.7 ¦Ìs,TX data,00,
40,1.019739 s,8.7 ¦Ìs,TX data,00,
41,1.019749 s,8.7 ¦Ìs,TX data,00,
42,1.01976 s,8.7 ¦Ìs,TX data,00,
43,1.019771 s,8.7 ¦Ìs,TX data,00,
44,1.019782 s,8.7 ¦Ìs,TX data,30,
45,1.019793 s,8.7 ¦Ìs,TX data,30,
46,1.019804 s,8.7 ¦Ìs,TX data,31,
47,1.019815 s,8.7 ¦Ìs,TX data,39,
48,1.019825 s,8.7 ¦Ìs,TX data,30,
49,1.019836 s,8.7 ¦Ìs,TX data,30,
50,1.019847 s,8.7 ¦Ìs,TX data,30,
51,1.019858 s,8.7 ¦Ìs,TX data,30,
52,1.019869 s,8.7 ¦Ìs,TX data,00,
53,1.01988 s,8.7 ¦Ìs,TX data,00,
54,1.019891 s,8.7 ¦Ìs,TX data,46,
55,1.019901 s,8.7 ¦Ìs,TX data,57,
56,1.019912 s,8.7 ¦Ìs,TX data,56,
57,1.019923 s,8.7 ¦Ìs,TX data,45,
58,1.019934 s,8.7 ¦Ìs,TX data,52,
59,1.019945 s,8.7 ¦Ìs,TX data,3D,
60,1.019956 s,8.7 ¦Ìs,TX data,53,
61,1.019967 s,8.7 ¦Ìs,TX data,50,
62,1.019977 s,8.7 ¦Ìs,TX data,47,
63,1.019988 s,8.7 ¦Ìs,TX data,20,
64,1.019999 s,8.7 ¦Ìs,TX data,35,
65,1.02001 s,8.7 ¦Ìs,TX data,2E,
66,1.020021 s,8.7 ¦Ìs,TX data,31,
67,1.020032 s,8.7 ¦Ìs,TX data,30,
68,1.020043 s,8.7 ¦Ìs,TX data,00,
69,1.020053 s,8.7 ¦Ìs,TX data,00,
70,1.020064 s,8.7 ¦Ìs,TX data,00,
71,1.020075 s,8.7 ¦Ìs,TX data,00,
72,1.020086 s,8.7 ¦Ìs,TX data,00,
73,1.020097 s,8.7 ¦Ìs,TX data,00,
74,1.020108 s,8.7 ¦Ìs,TX data,00,
75,1.020119 s,8.7 ¦Ìs,TX data,00,
76,1.020129 s,8.7 ¦Ìs,TX data,00,
77,1.02014 s,8.7 ¦Ìs,TX data,00,
78,1.020151 s,8.7 ¦Ìs,TX data,00,
79,1.020162 s,8.7 ¦Ìs,TX data,00,
80,1.020173 s,8.7 ¦Ìs,TX data,00,
81,1.020184 s,8.7 ¦Ìs,TX data,00,
82,1.020195 s,8.7 ¦Ìs,TX data,00,
83,1.020206 s,8.7 ¦Ìs,TX data,00,
84,1.020216 s,8.7 ¦Ìs,TX data,50,
85,1.020227 s,8.7 ¦Ìs,TX data,52,
86,1.020238 s,8.7 ¦Ìs,TX data,4F,
87,1.020249 s,8.7 ¦Ìs,TX data,54,
88,1.02026 s,8.7 ¦Ìs,TX data,56,
89,1.020271 s,8.7 ¦Ìs,TX data,45,
90,1.020282 s,8.7 ¦Ìs,TX data,52,
91,1.020292 s,8.7 ¦Ìs,TX data,3D,
92,1.020303 s,8.7 ¦Ìs,TX data,33,
93,1.020314 s,8.7 ¦Ìs,TX data,34,
94,1.020325 s,8.7 ¦Ìs,TX data,2E,
95,1.020336 s,8.7 ¦Ìs,TX data,31,
96,1.020347 s,8.7 ¦Ìs,TX data,30,
97,1.020358 s,8.7 ¦Ìs,TX data,00,
98,1.020368 s,8.7 ¦Ìs,TX data,00,
99,1.020379 s,8.7 ¦Ìs,TX data,00,
100,1.02039 s,8.7 ¦Ìs,TX data,00,
101,1.020401 s,8.7 ¦Ìs,TX data,00,
102,1.020412 s,8.7 ¦Ìs,TX data,00,
103,1.020423 s,8.7 ¦Ìs,TX data,00,
104,1.020434 s,8.7 ¦Ìs,TX data,00,
105,1.020444 s,8.7 ¦Ìs,TX data,00,
106,1.020455 s,8.7 ¦Ìs,TX data,00,
107,1.020466 s,8.7 ¦Ìs,TX data,00,
108,1.020477 s,8.7 ¦Ìs,TX data,00,
109,1.020488 s,8.7 ¦Ìs,TX data,00,
110,1.020499 s,8.7 ¦Ìs,TX data,00,
111,1.02051 s,8.7 ¦Ìs,TX data,00,
112,1.02052 s,8.7 ¦Ìs,TX data,00,
113,1.020531 s,8.7 ¦Ìs,TX data,00,
114,1.020542 s,8.7 ¦Ìs,TX data,47,
115,1.020553 s,8.7 ¦Ìs,TX data,50,
116,1.020564 s,8.7 ¦Ìs,TX data,53,
117,1.020575 s,8.7 ¦Ìs,TX data,3B,
118,1.020586 s,8.7 ¦Ìs,TX data,47,
119,1.020596 s,8.7 ¦Ìs,TX data,4C,
120,1.020607 s,8.7 ¦Ìs,TX data,4F,
121,1.020618 s,8.7 ¦Ìs,TX data,3B,
