Index,Start,Time,Type,Data,
0,1.018471 s,8.7 ¦Ìs,RX data,B5,
1,1.018483 s,8.7 ¦Ìs,RX data,62,
2,1.018495 s,8.7 ¦Ìs,RX data,0A,
3,1.018507 s,8.7 ¦Ìs,RX data,04,
4,1.018519 s,8.7 ¦Ìs,RX data,00,
5,1.018531 s,8.7 ¦Ìs,RX data,00,
6,1.018543 s,8.7 ¦Ìs,RX data,0E,
7,1.018555 s,8.7 ¦Ìs,RX data,34,
8,1.019013 s,8.7 ¦Ìs,TX data,B5,
9,1.019024 s,8.7 ¦Ìs,TX data,62,
10,1.019035 s,8.7 ¦Ìs,TX data,0A,
11,1.019046 s,8.7 ¦Ìs,TX data,04,
12,1.019057 s,8.7 ¦Ìs,TX data,A0,
13,1.019068 s,8.7 ¦Ìs,TX data,00,
14,1.019078 s,8.7 ¦Ìs,TX data,52,
15,1.019089 s,8.7 ¦Ìs,TX data,4F,
16,1.0191 s,8.7 ¦Ìs,TX data,4D,
17,1.019111 s,8.7 ¦Ìs,TX data,20,
18,1.019122 s,8.7 ¦Ìs,TX data,53,
19,1.019133 s,8.7 ¦Ìs,TX data,50,
20,1.019144 s,8.7 ¦Ìs,TX data,47,
21,1.019154 s,8.7 ¦Ìs,TX data,20,
22,1.019165 s,8.7 ¦Ìs,TX data,35,
23,1.019176 s,8.7 ¦Ìs,TX data,2E,
24,1.019187 s,8.7 ¦Ìs,TX data,31,
25,1.019198 s,8.7 ¦Ìs,TX data,30,
26,1.019209 s,8.7 ¦Ìs,TX data,20,
27,1.01922 s,8.7 ¦Ìs,TX data,28,
28,1.019231 s,8.7 ¦Ìs,TX data,37,
29,1.019241 s,8.7 ¦Ìs,TX data,62,
30,1.019252 s,8.7 ¦Ìs,TX data,32,
31,1.019263 s,8.7 ¦Ìs,TX data,30,
32,1.019274 s,8.7 ¦Ìs,TX data,32,
33,1.019285 s,8.7 ¦Ìs,TX data,65,
34,1.019296 s,8.7 ¦Ìs,TX data,29,
35,1.019307 s,8.7 ¦Ìs,TX data,00,
36,1.019317 s,8.7 ¦Ìs,TX data,00,
37,1.019328 s,8.7 ¦Ìs,TX data,00,
38,1.019339 s,8.7 ¦Ìs,TX data,00,
39,1.01935 s,8.7 ¦Ìs,TX data,00,
40,1.019361 s,8.7 ¦Ìs,TX data,00,
41,1.019372 s,8.7 ¦Ìs,TX data,00,
42,1.019383 s,8.7 ¦Ìs,TX data,00,
43,1.019393 s,8.7 ¦Ìs,TX data,00,
44,1.019404 s,8.7 ¦Ìs,TX data,30,
45,1.019415 s,8.7 ¦Ìs,TX data,30,
46,1.019426 s,8.7 ¦Ìs,TX data,30,
47,1.019437 s,8.7 ¦Ìs,TX data,41,
48,1.019448 s,8.7 ¦Ìs,TX data,30,
49,1.019459 s,8.7 ¦Ìs,TX data,30,
50,1.019469 s,8.7 ¦Ìs,TX data,30,
51,1.01948 s,8.7 ¦Ìs,TX data,30,
52,1.019491 s,8.7 ¦Ìs,TX data,00,
53,1.019502 s,8.7 ¦Ìs,TX data,00,
54,1.019513 s,8.7 ¦Ìs,TX data,46,
55,1.019524 s,8.7 ¦Ìs,TX data,57,
56,1.019535 s,8.7 ¦Ìs,TX data,56,
57,1.019545 s,8.7 ¦Ìs,TX data,45,
58,1.019556 s,8.7 ¦Ìs,TX data,52,
59,1.019567 s,8.7 ¦Ìs,TX data,3D,
60,1.019578 s,8.7 ¦Ìs,TX data,53,
61,1.019589 s,8.7 ¦Ìs,TX data,50,
62,1.0196 s,8.7 ¦Ìs,TX data,47,
63,1.019611 s,8.7 ¦Ìs,TX data,20,
64,1.019621 s,8.7 ¦Ìs,TX data,35,
65,1.019632 s,8.7 ¦Ìs,TX data,2E,
66,1.019643 s,8.7 ¦Ìs,TX data,31,
67,1.019654 s,8.7 ¦Ìs,TX data,30,
68,1.019665 s,8.7 ¦Ìs,TX data,00,
69,1.019676 s,8.7 ¦Ìs,TX data,00,
70,1.019687 s,8.7 ¦Ìs,TX data,00,
71,1.019697 s,8.7 ¦Ìs,TX data,00,
72,1.019708 s,8.7 ¦Ìs,TX data,00,
73,1.019719 s,8.7 ¦Ìs,TX data,00,
74,1.01973 s,8.7 ¦Ìs,TX data,00,
75,1.019741 s,8.7 ¦Ìs,TX data,00,
76,1.019752 s,8.7 ¦Ìs,TX data,00,
77,1.019763 s,8.7 ¦Ìs,TX data,00,
78,1.019774 s,8.7 ¦Ìs,TX data,00,
79,1.019784 s,8.7 ¦Ìs,TX data,00,
80,1.019795 s,8.7 ¦Ìs,TX data,00,
81,1.019806 s,8.7 ¦Ìs,TX data,00,
82,1.019817 s,8.7 ¦Ìs,TX data,00,
83,1.019828 s,8.7 ¦Ìs,TX data,00,
84,1.019839 s,8.7 ¦Ìs,TX data,50,
85,1.01985 s,8.7 ¦Ìs,TX data,52,
86,1.01986 s,8.7 ¦Ìs,TX data,4F,
87,1.019871 s,8.7 ¦Ìs,TX data,54,
88,1.019882 s,8.7 ¦Ìs,TX data,56,
89,1.019893 s,8.7 ¦Ìs,TX data,45,
90,1.019904 s,8.7 ¦Ìs,TX data,52,
91,1.019915 s,8.7 ¦Ìs,TX data,3D,
92,1.019926 s,8.7 ¦Ìs,TX data,33,
93,1.019936 s,8.7 ¦Ìs,TX data,34,
94,1.019947 s,8.7 ¦Ìs,TX data,2E,
95,1.019958 s,8.7 ¦Ìs,TX data,31,
96,1.019969 s,8.7 ¦Ìs,TX data,30,
97,1.01998 s,8.7 ¦Ìs,TX data,00,
98,1.019991 s,8.7 ¦Ìs,TX data,00,
99,1.020002 s,8.7 ¦Ìs,TX data,00,
100,1.020012 s,8.7 ¦Ìs,TX data,00,
101,1.020023 s,8.7 ¦Ìs,TX data,00,
102,1.020034 s,8.7 ¦Ìs,TX data,00,
103,1.020045 s,8.7 ¦Ìs,TX data,00,
104,1.020056 s,8.7 ¦Ìs,TX data,00,
105,1.020067 s,8.7 ¦Ìs,TX data,00,
106,1.020078 s,8.7 ¦Ìs,TX data,00,
107,1.020088 s,8.7 ¦Ìs,TX data,00,
108,1.020099 s,8.7 ¦Ìs,TX data,00,
109,1.02011 s,8.7 ¦Ìs,TX data,00,
110,1.020121 s,8.7 ¦Ìs,TX data,00,
111,1.020132 s,8.7 ¦Ìs,TX data,00,
112,1.020143 s,8.7 ¦Ìs,TX data,00,
113,1.020154 s,8.7 ¦Ìs,TX data,00,
114,1.020164 s,8.7 ¦Ìs,TX data,47,
115,1.020175 s,8.7 ¦Ìs,TX data,50,
116,1.020186 s,8.7 ¦Ìs,TX data,53,
117,1.020197 s,8.7 ¦Ìs,TX data,3B,
118,1.020208 s,8.7 ¦Ìs,TX data,47,
119,1.020219 s,8.7 ¦Ìs,TX data,4C,
120,1.02023 s,8.7 ¦Ìs,TX data,4F,
121,1.02024 s,8.7 ¦Ìs,TX data,3B,
122,1.020251 s,8.7 ¦Ìs,TX data,47,
123,1.020262 s,8.7 ¦Ìs,TX data,41,
124,1.020273 s,8.7 ¦Ìs,TX data,4C,
125,1.020284 s,8.7 ¦Ìs,TX data,3B,
126,1.020295 s,8.7 ¦Ìs,TX data,42,
127,1.020306 s,8.7 ¦Ìs,TX data,44,
128,1.020317 s,8.7 ¦Ìs,TX data,53,
129,1.020327 s,8.7 ¦Ìs,TX data,00,
130,1.020338 s,8.7 ¦Ìs,TX data,00,
131,1.020349 s,8.7 ¦Ìs,TX data,00,
132,1.02036 s,8.7 ¦Ìs,TX data,00,
133,1.020371 s,8.7 ¦Ìs,TX data,00,
134,1.020382 s,8.7 ¦Ìs,TX data,00,
135,1.020393 s,8.7 ¦Ìs,TX data,00,
