Id,Time[ns],0:UART: RX/TX
309,853760630.00,0D
310,853771470.00,0A
311,853782320.00,24
312,853793160.00,47
313,853804020.00,4E
314,853814870.00,54
315,853825710.00,58
316,853836550.00,54
317,853847400.00,2C
318,853858260.00,30
319,853869100.00,31
320,853879950.00,2C
321,853890790.00,30
322,853901650.00,31
323,853912490.00,2C
324,853923330.00,30
325,853934180.00,32
326,853945040.00,2C
327,853955880.00,41
328,853966730.00,4E
329,853977570.00,54
330,853988430.00,53
331,853999270.00,55
332,854010120.00,50
333,854020960.00,45
334,854031820.00,52
335,854042660.00,56
336,854053510.00,3D
337,854064350.00,2A
338,854075190.00,32
339,854086050.00,32
340,854096900.00,0D
341,854107740.00,0A
342,854118590.00,24
343,854129450.00,47
344,854140290.00,4E
345,854151130.00,54
346,854161980.00,58
347,854172830.00,54
348,854183680.00,2C
349,854194520.00,30
350,854205370.00,31
351,854216230.00,2C
352,854227070.00,30
353,854237910.00,31
354,854248760.00,2C
355,854259620.00,30
356,854270460.00,32
357,854281310.00,2C
358,854292150.00,41
359,854302990.00,4E
360,854313850.00,54
361,854324690.00,53
362,854335540.00,54
363,854346380.00,41
364,854357240.00,54
365,854368090.00,55
366,854378930.00,53
367,854389770.00,3D
368,854400630.00,44
369,854411480.00,4F
370,854422320.00,4E
371,854433170.00,54
372,854444020.00,4B
373,854454870.00,4E
374,854465710.00,4F
375,854476550.00,57
376,854487400.00,2A
377,854498260.00,32
378,854509100.00,44
379,854519950.00,0D
380,854530790.00,0A
381,854541650.00,24
382,854552490.00,47
383,854563340.00,4E
384,854574180.00,54
385,854585040.00,58
386,854595880.00,54
387,854606730.00,2C
388,854617570.00,30
389,854628430.00,31
390,854639270.00,2C
391,854650120.00,30
392,854660960.00,31
393,854671820.00,2C
394,854682670.00,30
395,854693510.00,32
396,854704350.00,2C
397,854715200.00,50
398,854726050.00,46
399,854736900.00,3D
400,854747740.00,46
401,854758590.00,37
402,854769450.00,46
403,854780290.00,46
404,854791130.00,42
405,854801980.00,2A
406,854812840.00,34
407,854823680.00,42
408,854834530.00,0D
409,854845370.00,0A
410,854856230.00,24
411,854867070.00,47
412,854877910.00,4E
413,854888760.00,54
414,854899620.00,58
415,854910460.00,54
416,854921310.00,2C
417,854932150.00,30
418,854942990.00,31
419,854953850.00,2C
420,854964700.00,30
421,854975540.00,31
422,854986390.00,2C
423,854997240.00,30
424,855008090.00,32
425,855018930.00,2C
426,855029770.00,53
427,855040630.00,74
428,855051480.00,61
429,855062320.00,72
430,855073170.00,74
431,855084030.00,69
432,855094870.00,6E
433,855105710.00,67
434,855116550.00,20
435,855127400.00,47
436,855138260.00,4E
437,855149100.00,53
438,855159950.00,53
439,855170790.00,2A
440,855181650.00,35
441,855192490.00,41
442,855203340.00,0D
443,855214180.00,0A
444,855225040.00,24
445,855235890.00,47
446,855246730.00,4E
447,855257570.00,52
