Index,Start,Time,Type,Data,
108,565.567575 ms,8.7 ¦Ìs,RX data,47,
109,565.578425 ms,8.7 ¦Ìs,RX data,20,
110,565.589275 ms,8.7 ¦Ìs,RX data,35,
111,565.600125 ms,8.7 ¦Ìs,RX data,2E,
112,565.610975 ms,8.7 ¦Ìs,RX data,31,
113,565.621825 ms,8.7 ¦Ìs,RX data,30,
114,565.63265 ms,8.7 ¦Ìs,RX data,20,
115,565.643525 ms,8.7 ¦Ìs,RX data,28,
116,565.654375 ms,8.7 ¦Ìs,RX data,37,
117,565.6652 ms,8.7 ¦Ìs,RX data,62,
118,565.67605 ms,8.7 ¦Ìs,RX data,32,
119,565.6869 ms,8.7 ¦Ìs,RX data,30,
120,565.69775 ms,8.7 ¦Ìs,RX data,32,
121,565.7086 ms,8.7 ¦Ìs,RX data,65,
122,565.71945 ms,8.7 ¦Ìs,RX data,29,
123,565.7303 ms,8.7 ¦Ìs,RX data,2A,
124,565.74115 ms,8.7 ¦Ìs,RX data,37,
125,565.752 ms,8.7 ¦Ìs,RX data,43,
126,565.762825 ms,8.7 ¦Ìs,RX data,0D,
127,565.7737 ms,8.7 ¦Ìs,RX data,0A,
128,565.784525 ms,8.7 ¦Ìs,RX data,24,
129,565.795375 ms,8.7 ¦Ìs,RX data,47,
130,565.806225 ms,8.7 ¦Ìs,RX data,4E,
131,565.817075 ms,8.7 ¦Ìs,RX data,54,
132,565.827925 ms,8.7 ¦Ìs,RX data,58,
133,565.838775 ms,8.7 ¦Ìs,RX data,54,
134,565.849625 ms,8.7 ¦Ìs,RX data,2C,
135,565.86045 ms,8.7 ¦Ìs,RX data,30,
136,565.871325 ms,8.7 ¦Ìs,RX data,31,
137,565.88215 ms,8.7 ¦Ìs,RX data,2C,
138,565.893 ms,8.7 ¦Ìs,RX data,30,
139,565.90385 ms,8.7 ¦Ìs,RX data,31,
140,565.9147 ms,8.7 ¦Ìs,RX data,2C,
141,565.92555 ms,8.7 ¦Ìs,RX data,30,
142,565.9364 ms,8.7 ¦Ìs,RX data,32,
143,565.94725 ms,8.7 ¦Ìs,RX data,2C,
144,565.9581 ms,8.7 ¦Ìs,RX data,46,
145,565.96895 ms,8.7 ¦Ìs,RX data,57,
146,565.9798 ms,8.7 ¦Ìs,RX data,56,
147,565.990625 ms,8.7 ¦Ìs,RX data,45,
148,566.0015 ms,8.7 ¦Ìs,RX data,52,
149,566.012325 ms,8.7 ¦Ìs,RX data,3D,
150,566.023175 ms,8.7 ¦Ìs,RX data,53,
151,566.034025 ms,8.7 ¦Ìs,RX data,50,
152,566.044875 ms,8.7 ¦Ìs,RX data,47,
153,566.055725 ms,8.7 ¦Ìs,RX data,20,
154,566.066575 ms,8.7 ¦Ìs,RX data,35,
155,566.077425 ms,8.7 ¦Ìs,RX data,2E,
156,566.08825 ms,8.7 ¦Ìs,RX data,31,
157,566.099125 ms,8.7 ¦Ìs,RX data,30,
158,566.10995 ms,8.7 ¦Ìs,RX data,2A,
159,566.1208 ms,8.7 ¦Ìs,RX data,34,
160,566.13165 ms,8.7 ¦Ìs,RX data,30,
161,566.1425 ms,8.7 ¦Ìs,RX data,0D,
162,566.15335 ms,8.7 ¦Ìs,RX data,0A,
163,566.1642 ms,8.7 ¦Ìs,RX data,24,
164,566.17505 ms,8.7 ¦Ìs,RX data,47,
165,566.1859 ms,8.7 ¦Ìs,RX data,4E,
166,566.19675 ms,8.7 ¦Ìs,RX data,54,
167,566.207575 ms,8.7 ¦Ìs,RX data,58,
168,566.218425 ms,8.7 ¦Ìs,RX data,54,
169,566.2293 ms,8.7 ¦Ìs,RX data,2C,
170,566.240125 ms,8.7 ¦Ìs,RX data,30,
171,566.250975 ms,8.7 ¦Ìs,RX data,31,
172,566.261825 ms,8.7 ¦Ìs,RX data,2C,
173,566.272675 ms,8.7 ¦Ìs,RX data,30,
174,566.283525 ms,8.7 ¦Ìs,RX data,31,
175,566.294375 ms,8.7 ¦Ìs,RX data,2C,
176,566.3052 ms,8.7 ¦Ìs,RX data,30,
177,566.31605 ms,8.7 ¦Ìs,RX data,32,
178,566.326925 ms,8.7 ¦Ìs,RX data,2C,
179,566.33775 ms,8.7 ¦Ìs,RX data,50,
180,566.3486 ms,8.7 ¦Ìs,RX data,52,
181,566.35945 ms,8.7 ¦Ìs,RX data,4F,
182,566.3703 ms,8.7 ¦Ìs,RX data,54,
183,566.38115 ms,8.7 ¦Ìs,RX data,56,
184,566.392 ms,8.7 ¦Ìs,RX data,45,
185,566.40285 ms,8.7 ¦Ìs,RX data,52,
186,566.4137 ms,8.7 ¦Ìs,RX data,3D,
187,566.42455 ms,8.7 ¦Ìs,RX data,33,
188,566.435375 ms,8.7 ¦Ìs,RX data,34,
189,566.446225 ms,8.7 ¦Ìs,RX data,2E,
190,566.457075 ms,8.7 ¦Ìs,RX data,31,
191,566.467925 ms,8.7 ¦Ìs,RX data,30,
192,566.478775 ms,8.7 ¦Ìs,RX data,2A,
193,566.489625 ms,8.7 ¦Ìs,RX data,31,
194,566.500475 ms,8.7 ¦Ìs,RX data,45,
195,566.511325 ms,8.7 ¦Ìs,RX data,0D,
