Index,Start,Time,Type,Data,
0,985.408325 ms,8.7 ¦Ìs,RX data,B5,
1,985.420225 ms,8.7 ¦Ìs,RX data,62,
2,985.432125 ms,8.7 ¦Ìs,RX data,0A,
3,985.444025 ms,8.7 ¦Ìs,RX data,04,
4,985.455925 ms,8.7 ¦Ìs,RX data,00,
5,985.467825 ms,8.7 ¦Ìs,RX data,00,
6,985.479725 ms,8.7 ¦Ìs,RX data,0E,
7,985.491625 ms,8.7 ¦Ìs,RX data,34,
8,985.948325 ms,8.7 ¦Ìs,TX data,B5,
9,985.959175 ms,8.7 ¦Ìs,TX data,62,
10,985.970025 ms,8.7 ¦Ìs,TX data,0A,
11,985.9809 ms,8.7 ¦Ìs,TX data,04,
12,985.99175 ms,8.7 ¦Ìs,TX data,A0,
13,986.002625 ms,8.7 ¦Ìs,TX data,00,
14,986.013475 ms,8.7 ¦Ìs,TX data,52,
15,986.024325 ms,8.7 ¦Ìs,TX data,4F,
16,986.0352 ms,8.7 ¦Ìs,TX data,4D,
17,986.04605 ms,8.7 ¦Ìs,TX data,20,
18,986.0569 ms,8.7 ¦Ìs,TX data,53,
19,986.067775 ms,8.7 ¦Ìs,TX data,50,
20,986.078625 ms,8.7 ¦Ìs,TX data,47,
21,986.0895 ms,8.7 ¦Ìs,TX data,20,
22,986.10035 ms,8.7 ¦Ìs,TX data,35,
23,986.1112 ms,8.7 ¦Ìs,TX data,2E,
24,986.122075 ms,8.7 ¦Ìs,TX data,31,
25,986.132925 ms,8.7 ¦Ìs,TX data,30,
26,986.143775 ms,8.7 ¦Ìs,TX data,20,
27,986.15465 ms,8.7 ¦Ìs,TX data,28,
28,986.1655 ms,8.7 ¦Ìs,TX data,37,
29,986.176375 ms,8.7 ¦Ìs,TX data,62,
30,986.187225 ms,8.7 ¦Ìs,TX data,32,
31,986.1981 ms,8.7 ¦Ìs,TX data,30,
32,986.20895 ms,8.7 ¦Ìs,TX data,32,
33,986.2198 ms,8.7 ¦Ìs,TX data,65,
34,986.230675 ms,8.7 ¦Ìs,TX data,29,
35,986.241525 ms,8.7 ¦Ìs,TX data,00,
36,986.252375 ms,8.7 ¦Ìs,TX data,00,
37,986.26325 ms,8.7 ¦Ìs,TX data,00,
38,986.2741 ms,8.7 ¦Ìs,TX data,00,
39,986.284975 ms,8.7 ¦Ìs,TX data,00,
40,986.295825 ms,8.7 ¦Ìs,TX data,00,
41,986.306675 ms,8.7 ¦Ìs,TX data,00,
42,986.31755 ms,8.7 ¦Ìs,TX data,00,
43,986.3284 ms,8.7 ¦Ìs,TX data,00,
44,986.33925 ms,8.7 ¦Ìs,TX data,30,
45,986.350125 ms,8.7 ¦Ìs,TX data,30,
46,986.360975 ms,8.7 ¦Ìs,TX data,31,
47,986.37185 ms,8.7 ¦Ìs,TX data,39,
48,986.3827 ms,8.7 ¦Ìs,TX data,30,
49,986.39355 ms,8.7 ¦Ìs,TX data,30,
50,986.404425 ms,8.7 ¦Ìs,TX data,30,
51,986.415275 ms,8.7 ¦Ìs,TX data,30,
52,986.426125 ms,8.7 ¦Ìs,TX data,00,
53,986.437 ms,8.7 ¦Ìs,TX data,00,
54,986.44785 ms,8.7 ¦Ìs,TX data,46,
55,986.458725 ms,8.7 ¦Ìs,TX data,57,
56,986.469575 ms,8.7 ¦Ìs,TX data,56,
57,986.48045 ms,8.7 ¦Ìs,TX data,45,
58,986.4913 ms,8.7 ¦Ìs,TX data,52,
59,986.50215 ms,8.7 ¦Ìs,TX data,3D,
60,986.513025 ms,8.7 ¦Ìs,TX data,53,
61,986.523875 ms,8.7 ¦Ìs,TX data,50,
62,986.534725 ms,8.7 ¦Ìs,TX data,47,
63,986.5456 ms,8.7 ¦Ìs,TX data,20,
64,986.55645 ms,8.7 ¦Ìs,TX data,35,
65,986.567325 ms,8.7 ¦Ìs,TX data,2E,
66,986.578175 ms,8.7 ¦Ìs,TX data,31,
67,986.589025 ms,8.7 ¦Ìs,TX data,30,
68,986.5999 ms,8.7 ¦Ìs,TX data,00,
69,986.61075 ms,8.7 ¦Ìs,TX data,00,
70,986.6216 ms,8.7 ¦Ìs,TX data,00,
71,986.632475 ms,8.7 ¦Ìs,TX data,00,
72,986.643325 ms,8.7 ¦Ìs,TX data,00,
73,986.6542 ms,8.7 ¦Ìs,TX data,00,
74,986.66505 ms,8.7 ¦Ìs,TX data,00,
75,986.6759 ms,8.7 ¦Ìs,TX data,00,
76,986.686775 ms,8.7 ¦Ìs,TX data,00,
77,986.697625 ms,8.7 ¦Ìs,TX data,00,
78,986.708475 ms,8.7 ¦Ìs,TX data,00,
79,986.71935 ms,8.7 ¦Ìs,TX data,00,
80,986.7302 ms,8.7 ¦Ìs,TX data,00,
81,986.741075 ms,8.7 ¦Ìs,TX data,00,
82,986.751925 ms,8.7 ¦Ìs,TX data,00,
83,986.762775 ms,8.7 ¦Ìs,TX data,00,
84,986.77365 ms,8.7 ¦Ìs,TX data,50,
85,986.7845 ms,8.7 ¦Ìs,TX data,52,
86,986.79535 ms,8.7 ¦Ìs,TX data,4F,
87,986.806225 ms,8.7 ¦Ìs,TX data,54,
88,986.817075 ms,8.7 ¦Ìs,TX data,56,
89,986.82795 ms,8.7 ¦Ìs,TX data,45,
90,986.8388 ms,8.7 ¦Ìs,TX data,52,
91,986.849675 ms,8.7 ¦Ìs,TX data,3D,
92,986.860525 ms,8.7 ¦Ìs,TX data,33,
93,986.871375 ms,8.7 ¦Ìs,TX data,34,
94,986.88225 ms,8.7 ¦Ìs,TX data,2E,
95,986.8931 ms,8.7 ¦Ìs,TX data,31,
96,986.90395 ms,8.7 ¦Ìs,TX data,30,
97,986.914825 ms,8.7 ¦Ìs,TX data,00,
98,986.925675 ms,8.7 ¦Ìs,TX data,00,
99,986.93655 ms,8.7 ¦Ìs,TX data,00,
100,986.9474 ms,8.7 ¦Ìs,TX data,00,
101,986.95825 ms,8.7 ¦Ìs,TX data,00,
102,986.969125 ms,8.7 ¦Ìs,TX data,00,
103,986.979975 ms,8.7 ¦Ìs,TX data,00,
104,986.990825 ms,8.7 ¦Ìs,TX data,00,
105,987.0017 ms,8.7 ¦Ìs,TX data,00,
106,987.01255 ms,8.7 ¦Ìs,TX data,00,
107,987.023425 ms,8.7 ¦Ìs,TX data,00,
108,987.034275 ms,8.7 ¦Ìs,TX data,00,
109,987.045125 ms,8.7 ¦Ìs,TX data,00,
110,987.056 ms,8.7 ¦Ìs,TX data,00,
111,987.06685 ms,8.7 ¦Ìs,TX data,00,
112,987.0777 ms,8.7 ¦Ìs,TX data,00,
113,987.088575 ms,8.7 ¦Ìs,TX data,00,
114,987.099425 ms,8.7 ¦Ìs,TX data,47,
115,987.1103 ms,8.7 ¦Ìs,TX data,50,
116,987.12115 ms,8.7 ¦Ìs,TX data,53,
117,987.132025 ms,8.7 ¦Ìs,TX data,3B,
118,987.142875 ms,8.7 ¦Ìs,TX data,47,
119,987.153725 ms,8.7 ¦Ìs,TX data,4C,
120,987.1646 ms,8.7 ¦Ìs,TX data,4F,
121,987.17545 ms,8.7 ¦Ìs,TX data,3B,
122,987.1863 ms,8.7 ¦Ìs,TX data,47,
123,987.197175 ms,8.7 ¦Ìs,TX data,41,
124,987.208025 ms,8.7 ¦Ìs,TX data,4C,
125,987.2189 ms,8.7 ¦Ìs,TX data,3B,
126,987.22975 ms,8.7 ¦Ìs,TX data,42,
127,987.2406 ms,8.7 ¦Ìs,TX data,44,
128,987.25145 ms,8.7 ¦Ìs,TX data,53,
129,987.262325 ms,8.7 ¦Ìs,TX data,00,
130,987.273175 ms,8.7 ¦Ìs,TX data,00,
131,987.28405 ms,8.7 ¦Ìs,TX data,00,
132,987.2949 ms,8.7 ¦Ìs,TX data,00,
133,987.305775 ms,8.7 ¦Ìs,TX data,00,
