Index,Start,Time,Type,Data,
0,1.035 s,8.7 ¦Ìs,RX data,B5,
1,1.035012 s,8.7 ¦Ìs,RX data,62,
2,1.035023 s,8.7 ¦Ìs,RX data,0A,
3,1.035035 s,8.7 ¦Ìs,RX data,04,
4,1.035047 s,8.7 ¦Ìs,RX data,00,
5,1.035059 s,8.7 ¦Ìs,RX data,00,
6,1.035071 s,8.7 ¦Ìs,RX data,0E,
7,1.035083 s,8.7 ¦Ìs,RX data,34,
8,1.03554 s,8.7 ¦Ìs,TX data,B5,
9,1.035551 s,8.7 ¦Ìs,TX data,62,
10,1.035562 s,8.7 ¦Ìs,TX data,0A,
11,1.035573 s,8.7 ¦Ìs,TX data,04,
12,1.035584 s,8.7 ¦Ìs,TX data,A0,
13,1.035595 s,8.7 ¦Ìs,TX data,00,
14,1.035605 s,8.7 ¦Ìs,TX data,52,
15,1.035616 s,8.7 ¦Ìs,TX data,4F,
16,1.035627 s,8.7 ¦Ìs,TX data,4D,
17,1.035638 s,8.7 ¦Ìs,TX data,20,
18,1.035649 s,8.7 ¦Ìs,TX data,53,
19,1.03566 s,8.7 ¦Ìs,TX data,50,
20,1.035671 s,8.7 ¦Ìs,TX data,47,
21,1.035681 s,8.7 ¦Ìs,TX data,20,
22,1.035692 s,8.7 ¦Ìs,TX data,35,
23,1.035703 s,8.7 ¦Ìs,TX data,2E,
24,1.035714 s,8.7 ¦Ìs,TX data,31,
25,1.035725 s,8.7 ¦Ìs,TX data,30,
26,1.035736 s,8.7 ¦Ìs,TX data,20,
27,1.035747 s,8.7 ¦Ìs,TX data,28,
28,1.035757 s,8.7 ¦Ìs,TX data,37,
29,1.035768 s,8.7 ¦Ìs,TX data,62,
30,1.035779 s,8.7 ¦Ìs,TX data,32,
31,1.03579 s,8.7 ¦Ìs,TX data,30,
32,1.035801 s,8.7 ¦Ìs,TX data,32,
33,1.035812 s,8.7 ¦Ìs,TX data,65,
34,1.035823 s,8.7 ¦Ìs,TX data,29,
35,1.035833 s,8.7 ¦Ìs,TX data,00,
36,1.035844 s,8.7 ¦Ìs,TX data,00,
