Id,Time[ns],0:UART: RX/TX
284,2023866600.00,8A
285,2023877490.00,98
286,2023888380.00,C1
287,2033765500.00,B5
288,2033776390.00,62
289,2033787280.00,05
290,2033798170.00,01
291,2033809050.00,02
292,2033819940.00,00
293,2033830830.00,06
294,2033841710.00,8A
295,2033852600.00,98
296,2033863490.00,C1
297,2043770900.00,B5
298,2043781790.00,62
299,2043792670.00,05
300,2043803560.00,01
301,2043814450.00,02
302,2043825340.00,00
303,2043836220.00,06
304,2043847110.00,8A
305,2043857990.00,98
306,2043868890.00,C1
307,2053754590.00,B5
308,2053765470.00,62
309,2053776360.00,05
310,2053787250.00,01
311,2053798130.00,02
312,2053809020.00,00
313,2053819910.00,06
314,2053830800.00,8A
315,2053841680.00,98
316,2053852570.00,C1
317,2063770530.00,B5
318,2063781410.00,62
319,2063792300.00,05
320,2063803190.00,01
321,2063814080.00,02
322,2063824960.00,00
323,2063835850.00,06
324,2063846730.00,8A
325,2063857630.00,98
326,2063868510.00,C1
327,2073802930.00,B5
328,2073813820.00,62
329,2073824710.00,05
330,2073835590.00,01
331,2073846490.00,02
332,2073857370.00,00
333,2073868260.00,06
334,2073879140.00,8A
335,2073890030.00,98
336,2073900920.00,C1
337,2083765120.00,B5
338,2083776010.00,62
339,2083786900.00,05
340,2083797780.00,01
341,2083808670.00,02
342,2083819560.00,00
343,2083830450.00,06
344,2083841330.00,8A
345,2083852220.00,98
346,2083863110.00,C1
347,2093758680.00,B5
348,2093769560.00,62
349,2093780450.00,05
350,2093791340.00,01
351,2093802230.00,02
352,2093813110.00,00
353,2093824000.00,06
354,2093834890.00,8A
355,2093845770.00,98
356,2093856660.00,C1
357,2103770130.00,B5
358,2103781010.00,62
359,2103791900.00,05
360,2103802790.00,01
361,2103813680.00,02
362,2103824560.00,00
363,2103835450.00,06
364,2103846330.00,8A
365,2103857230.00,98
366,2103868110.00,C1
367,2113762730.00,B5
368,2113773610.00,62
369,2113784500.00,05
370,2113795390.00,01
371,2113806270.00,02
372,2113817170.00,00
373,2113828050.00,06
