Id,Time[ns],0:UART: RX/TX
285,1859270580.00,00
286,1859282480.00,89
287,1859294380.00,5A
288,1869098560.00,B5
289,1869110460.00,62
290,1869122360.00,06
291,1869134260.00,8A
292,1869146160.00,09
293,1869158060.00,00
294,1869169960.00,00
295,1869181840.00,01
296,1869193740.00,00
297,1869205640.00,00
298,1869217540.00,43
299,1869229440.00,00
300,1869241340.00,91
301,1869253240.00,20
302,1869265140.00,01
303,1869277040.00,8F
304,1869288940.00,74
305,1879104880.00,B5
306,1879116780.00,62
307,1879128680.00,06
308,1879140580.00,8A
309,1879152480.00,09
310,1879164380.00,00
311,1879176280.00,00
312,1879188180.00,01
313,1879200080.00,00
314,1879211980.00,00
315,1879223880.00,48
316,1879235780.00,00
317,1879247680.00,91
318,1879259580.00,20
319,1879271480.00,00
320,1879283380.00,93
321,1879295280.00,8C
322,1889119160.00,B5
323,1889131060.00,62
324,1889142960.00,06
325,1889154860.00,8A
326,1889166760.00,09
327,1889178660.00,00
328,1889190560.00,00
329,1889202460.00,01
330,1889214360.00,00
331,1889226260.00,00
332,1889238160.00,5C
333,1889250060.00,00
334,1889261960.00,91
335,1889273860.00,20
336,1889285760.00,01
337,1889297660.00,A8
338,1889309560.00,F1
339,1899104140.00,B5
340,1899116040.00,62
341,1899127940.00,06
342,1899139840.00,8A
343,1899151740.00,09
344,1899163640.00,00
345,1899175540.00,00
346,1899187440.00,01
347,1899199340.00,00
348,1899211240.00,00
349,1899223140.00,66
350,1899235040.00,00
351,1899246940.00,91
352,1899258840.00,20
353,1899270740.00,01
354,1899282640.00,B2
355,1899294540.00,23
356,1909098600.00,B5
357,1909110500.00,62
358,1909122400.00,06
359,1909134300.00,8A
360,1909146200.00,09
361,1909158100.00,00
362,1909170000.00,00
363,1909181900.00,01
364,1909193800.00,00
365,1909205700.00,00
366,1909217600.00,A5
367,1909229500.00,02
368,1909241400.00,91
369,1909253300.00,20
370,1909265200.00,01
371,1909277100.00,F3
372,1909289000.00,66
373,1919112800.00,B5
374,1919124700.00,62
375,1919136600.00,06
376,1919148500.00,8A
377,1919160400.00,09
378,1919172300.00,00
379,1919184200.00,00
380,1919196100.00,01
381,1919207980.00,00
382,1919219880.00,00
383,1919231780.00,32
384,1919243680.00,02
385,1919255580.00,91
386,1919267480.00,20
387,1919279380.00,01
388,1919291280.00,80
389,1919303180.00,27
390,1929099440.00,B5
391,1929111340.00,62
392,1929123240.00,06
393,1929135140.00,8A
394,1929147040.00,09
395,1929158940.00,00
396,1929170840.00,00
397,1929182740.00,01
398,1929194640.00,00
399,1929206540.00,00
400,1929218440.00,5A
401,1929230340.00,03
402,1929242240.00,91
403,1929254140.00,20
404,1929266040.00,01
405,1929277940.00,A9
406,1929289820.00,F3
407,1939125100.00,B5
408,1939137000.00,62
409,1939148900.00,06
410,1939160800.00,8A
411,1939172700.00,60
412,1939184600.00,00
413,1939196500.00,00
414,1939208400.00,01
415,1939220300.00,00
416,1939232200.00,00
417,1939244100.00,AB
418,1939256000.00,00
419,1939267900.00,11
420,1939279800.00,20
421,1939291700.00,00
422,1939303600.00,AA
423,1939315500.00,00
424,1939327400.00,11
425,1939339300.00,20
426,1939351200.00,00
427,1939363100.00,C4
428,1939374980.00,00
429,1939386880.00,11
430,1939398780.00,20
431,1939410680.00,3C
432,1939422580.00,21
433,1939434480.00,00
434,1939446380.00,11
435,1939458280.00,20
436,1939470180.00,07
437,1939482080.00,11
438,1939493980.00,00
439,1939505880.00,11
440,1939517780.00,20
441,1939529680.00,03
442,1939541580.00,C1
443,1939553480.00,00
444,1939565380.00,11
445,1939577280.00,40
446,1939589180.00,00
447,1939601080.00,00
448,1939612980.00,00
449,1939624880.00,00
450,1939636760.00,C2
451,1939648660.00,00
452,1939660560.00,11
453,1939672460.00,40
454,1939684360.00,10
455,1939696260.00,27
456,1939708160.00,00
457,1939720060.00,00
458,1939731960.00,A4
459,1939743860.00,00
460,1939755760.00,11
461,1939767660.00,20
462,1939779560.00,05
463,1939791460.00,B3
464,1939803360.00,00
465,1939815260.00,11
466,1939827160.00,30
467,1939839060.00,64
468,1939850960.00,00
469,1939862860.00,B1
470,1939874740.00,00
471,1939886660.00,11
472,1939898540.00,30
473,1939910440.00,FA
474,1939922340.00,00
475,1939934240.00,3B
476,1939946140.00,00
477,1939958040.00,25
478,1939969940.00,30
479,1939981840.00,00
480,1939993740.00,00
481,1940005640.00,38
482,1940017540.00,00
483,1940029440.00,25
484,1940041340.00,20
485,1940053240.00,00
486,1940065140.00,B4
487,1940077040.00,00
488,1940088940.00,11
489,1940100840.00,30
490,1940112740.00,5E
491,1940124640.00,01
492,1940136540.00,B5
493,1940148420.00,00
494,1940160320.00,11
495,1940172220.00,30
496,1940184120.00,96
497,1940196020.00,00
498,1940207920.00,B2
499,1940219820.00,00
500,1940231720.00,11
501,1940243620.00,30
502,1940255520.00,FA
503,1940267420.00,00
504,1940279320.00,1C
505,1940291220.00,00
506,1940303120.00,11
507,1940315020.00,20
508,1940326920.00,00
509,1940338820.00,18
510,1940350720.00,B3
511,1949098700.00,B5
512,1949110600.00,62
