Id,Time[ns],0:UART: RX/TX
285,2103561850.00,20
286,2103573790.00,01
287,2103585720.00,55
288,2103597660.00,58
289,2113399590.00,B5
290,2113411530.00,62
291,2113423470.00,06
292,2113435400.00,8A
293,2113447340.00,09
294,2113459270.00,00
295,2113471210.00,00
296,2113483140.00,03
297,2113495080.00,00
298,2113507010.00,00
299,2113518950.00,43
300,2113530880.00,00
301,2113542820.00,91
302,2113554750.00,20
303,2113566690.00,01
304,2113578620.00,91
305,2113590560.00,84
306,2123429030.00,B5
307,2123440970.00,62
308,2123452900.00,06
309,2123464840.00,8A
310,2123476770.00,09
311,2123488710.00,00
312,2123500640.00,00
313,2123512580.00,03
314,2123524510.00,00
315,2123536450.00,00
316,2123548380.00,48
317,2123560320.00,00
318,2123572250.00,91
319,2123584190.00,20
320,2123596120.00,01
321,2123608060.00,96
322,2123619990.00,9D
323,2133400060.00,B5
324,2133411990.00,62
325,2133423930.00,06
326,2133435860.00,8A
327,2133447800.00,09
328,2133459730.00,00
329,2133471670.00,00
330,2133483600.00,03
331,2133495540.00,00
332,2133507470.00,00
333,2133519410.00,5C
334,2133531340.00,00
335,2133543280.00,91
336,2133555210.00,20
337,2133567150.00,01
338,2133579080.00,AA
339,2133591020.00,01
340,2143409550.00,B5
341,2143421490.00,62
342,2143433430.00,06
343,2143445360.00,8A
344,2143457300.00,09
345,2143469230.00,00
346,2143481170.00,00
347,2143493100.00,03
348,2143505040.00,00
349,2143516970.00,00
350,2143528910.00,66
351,2143540840.00,00
352,2143552780.00,91
353,2143564710.00,20
354,2143576650.00,01
355,2143588580.00,B4
356,2143600520.00,33
357,2153398240.00,B5
358,2153410170.00,62
359,2153422110.00,06
360,2153434040.00,8A
361,2153445980.00,09
362,2153457910.00,00
363,2153469850.00,00
364,2153481780.00,03
365,2153493720.00,00
366,2153505650.00,00
367,2153517590.00,16
368,2153529520.00,00
369,2153541460.00,91
370,2153553390.00,20
371,2153565330.00,01
372,2153577260.00,64
373,2153589200.00,A3
374,2163409610.00,B5
375,2163421550.00,62
376,2163433480.00,06
377,2163445420.00,8A
378,2163457350.00,09
379,2163469290.00,00
380,2163481220.00,00
381,2163493160.00,03
382,2163505090.00,00
383,2163517030.00,00
384,2163528960.00,5A
385,2163540900.00,03
386,2163552830.00,91
387,2163564770.00,20
388,2163576700.00,01
389,2163588640.00,AB
390,2163600570.00,03
391,2173421490.00,B5
392,2173433430.00,62
393,2173445360.00,06
394,2173457300.00,8A
395,2173469230.00,0C
396,2173481170.00,00
397,2173493100.00,00
398,2173505040.00,03
399,2173516970.00,00
400,2173528910.00,00
401,2173540840.00,04
402,2173552780.00,00
403,2173564710.00,05
404,2173576650.00,40
405,2173588580.00,A0
406,2173600520.00,86
407,2173612450.00,01
408,2173624390.00,00
409,2173636320.00,0F
410,2173648260.00,D1
411,2183410050.00,B5
412,2183421990.00,62
413,2183433920.00,06
414,2183445860.00,8A
415,2183457790.00,09
416,2183469730.00,00
417,2183481660.00,00
418,2183493600.00,03
419,2183505530.00,00
420,2183517470.00,00
421,2183529400.00,0C
422,2183541340.00,00
423,2183553270.00,05
424,2183565210.00,20
425,2183577140.00,01
426,2183589080.00,CE
427,2183601010.00,CD
428,2193398370.00,B5
429,2193410300.00,62
430,2193422240.00,06
431,2193434170.00,8A
432,2193446110.00,09
433,2193458040.00,00
434,2193469980.00,00
435,2193481910.00,03
436,2193493850.00,00
437,2193505780.00,00
438,2193517720.00,0D
439,2193529650.00,00
440,2193541590.00,41
441,2193553520.00,10
442,2193565460.00,01
443,2193577390.00,FB
444,2193589330.00,66
445,2203410010.00,B5
446,2203421940.00,62
447,2203433880.00,06
448,2203445810.00,8A
449,2203457750.00,09
450,2203469680.00,00
451,2203481620.00,00
452,2203493550.00,03
453,2203505490.00,00
454,2203517420.00,00
455,2203529360.00,21
456,2203541290.00,00
457,2203553230.00,11
458,2203565160.00,20
459,2203577100.00,07
460,2203589030.00,F5
461,2203600970.00,60
462,2213403160.00,B5
463,2213415100.00,62
464,2213427030.00,06
465,2213438970.00,8A
466,2213450900.00,09
467,2213462840.00,00
468,2213474770.00,00
469,2213486710.00,03
470,2213498640.00,00
471,2213510580.00,00
472,2213522510.00,25
473,2213534450.00,00
474,2213546380.00,11
475,2213558320.00,10
476,2213570250.00,01
477,2213582190.00,E3
478,2213594120.00,4E
479,2223463590.00,B5
480,2223475520.00,62
481,2223487460.00,06
482,2223499390.00,8A
483,2223511330.00,09
484,2223523260.00,00
485,2223535200.00,00
486,2223547130.00,03
487,2223559070.00,00
488,2223571010.00,00
489,2223582950.00,13
490,2223594870.00,00
491,2223606810.00,11
492,2223618750.00,10
493,2223630690.00,01
494,2223642610.00,D1
495,2223654550.00,F4
496,2233401550.00,B5
497,2233413490.00,62
498,2233425430.00,06
499,2233437360.00,8A
500,2233449300.00,09
501,2233461230.00,00
